Output file with mission profile breakdown

         FLIGHT PHASE           |   ALTITUDE    |     WEIGHT      |  DIST.  | TIME  |            SPEED              |  FUEL  |
                                | From  |   To  |Initial | Final  |         |       |Initial| Final |Initial| Final |        |
                                |   m   |   m   |   kg   |   kg   |    km   |  min  | m/s   | m/s   |  Mach |  Mach |   kg   |
                                |       |       |        |        |         |       |       |       |       |       |        |
climb_1                         |      0|   1524|  215507|  215163|       12|    1.5|  127.8|  119.0|  0.376|  0.382|  344.12|
climb_2                         |   1524|   3048|  215163|  214831|       14|    1.7|  128.4|  119.3|  0.412|  0.420|  332.61|
climb_3                         |   3048|   4572|  214831|  214494|       18|    2.0|  129.1|  119.6|  0.454|  0.463|  336.14|
climb_4                         |   4572|   6096|  214494|  214141|       25|    2.6|  130.0|  120.2|  0.502|  0.512|  353.75|
climb_5                         |   6096|   7315|  214141|  213834|       27|    2.6|  130.0|  121.8|  0.552|  0.561|  306.77|
climb_6                         |   7315|   8534|  213834|  213494|       37|    3.3|  131.0|  122.5|  0.602|  0.612|  340.23|
climb_7                         |   8534|   9144|  213494|  213301|       25|    2.1|  129.7|  125.3|  0.646|  0.652|  193.13|
climb_8                         |   9144|   9754|  213301|  213084|       31|    2.5|  130.4|  125.9|  0.676|  0.682|  217.09|
climb_9                         |   9754|  10363|  213084|  212833|       40|    3.1|  131.1|  126.5|  0.708|  0.714|  250.49|
climb_10                        |  10363|  10973|  212833|  212522|       55|    4.2|  131.9|  127.2|  0.742|  0.749|  310.58|
cruise_1                        |  10973|  10973|  212522|  193075|     4675|  321.8|  140.7|  140.7|  0.820|  0.820|19446.98|
step_climb_1                    |  10973|  11582|  193075|  192814|       52|    3.6|  140.6|  134.4|  0.819|  0.820|  261.56|
cruise_2                        |  11582|  11582|  192814|  174903|     4675|  322.0|  134.4|  134.4|  0.820|  0.820|17910.80|
step_climb_2                    |  11582|  12192|  174903|  174670|       50|    3.4|  134.4|  128.3|  0.820|  0.820|  232.82|
cruise_3                        |  12192|  12192|  174670|  158216|     4675|  322.0|  128.3|  128.3|  0.820|  0.820|16454.06|
step_climb_3                    |  12192|  12802|  158216|  158005|       49|    3.4|  128.3|  122.5|  0.820|  0.820|  211.28|
cruise_4                        |  12802|  11887|  158005|  142924|     4675|  322.0|  122.5|  122.5|  0.820|  0.820|15080.77|
descent_3                       |  11887|  11278|  142924|  142919|       16|    1.1|  127.9|  133.9|  0.801|  0.801|    5.01|
descent_4                       |  11278|  10668|  142919|  142913|       16|    1.2|  127.1|  132.3|  0.764|  0.760|    5.72|
descent_5                       |  10668|  10058|  142913|  142907|       16|    1.3|  126.9|  131.5|  0.731|  0.725|    6.56|
descent_6                       |  10058|   9449|  142907|  142899|       16|    1.3|  126.2|  130.7|  0.698|  0.692|    7.54|
descent_7                       |   9449|   8839|  142899|  142891|       16|    1.4|  125.6|  130.0|  0.667|  0.661|    8.58|
descent_8                       |   8839|   8230|  142891|  142881|       17|    1.4|  125.1|  129.4|  0.637|  0.632|    9.86|
descent_9                       |   8230|   7315|  142881|  142863|       25|    2.3|  123.4|  129.8|  0.604|  0.597|   17.58|
descent_10                      |   7315|   6401|  142863|  142843|       25|    2.4|  122.9|  129.1|  0.566|  0.559|   20.79|
descent_11                      |   6401|   5486|  142843|  142818|       26|    2.6|  122.4|  128.4|  0.531|  0.525|   24.07|
descent_12                      |   5486|   4572|  142818|  142789|       26|    2.7|  122.0|  127.9|  0.500|  0.494|   29.29|
descent_13                      |   4572|   3658|  142789|  142752|       27|    2.9|  121.6|  127.4|  0.470|  0.465|   36.83|
descent_14                      |   3658|   2743|  142752|  142706|       27|    3.1|  121.3|  126.9|  0.443|  0.438|   45.90|
descent_15                      |   2743|   1829|  142706|  142655|       28|    3.4|  121.1|  126.6|  0.418|  0.414|   51.59|
descent_16                      |   1829|    914|  142655|  142600|       29|    3.6|  120.9|  126.2|  0.395|  0.391|   55.33|
reserve_climb_1                 |    914|   1829|  142600|  142477|        4|    0.6|  126.2|  120.9|  0.391|  0.395|  122.93|
reserve_climb_2                 |   1829|   3048|  142477|  142316|        7|    0.8|  127.6|  120.2|  0.417|  0.423|  160.31|
reserve_climb_3                 |   3048|   4572|  142316|  142118|       11|    1.2|  129.1|  119.6|  0.454|  0.463|  198.02|
reserve_climb_4                 |   4572|   6096|  142118|  141918|       14|    1.5|  130.0|  120.2|  0.502|  0.512|  200.30|
reserve_cruise                  |   6096|   6096|  141918|  141114|      167|   16.5|  125.5|  125.5|  0.534|  0.534|  803.84|
reserve_descent_1               |   6096|   5182|  141114|  141089|       26|    2.6|  122.2|  128.2|  0.520|  0.514|   25.47|
reserve_descent_2               |   5182|   4267|  141089|  141057|       26|    2.8|  121.9|  127.7|  0.489|  0.484|   31.50|
reserve_descent_3               |   4267|   3353|  141057|  141018|       27|    3.0|  121.5|  127.2|  0.461|  0.456|   39.61|
reserve_descent_4               |   3353|   2438|  141018|  140969|       27|    3.2|  121.2|  126.8|  0.435|  0.430|   48.23|
reserve_descent_5               |   2438|   1524|  140969|  140917|       28|    3.4|  121.0|  126.4|  0.410|  0.406|   52.66|
reserve_descent_6               |   1524|    914|  140917|  140879|       19|    2.4|  121.7|  125.3|  0.391|  0.388|   37.28|
reserve_descent_7               |    914|    457|  140879|  140849|       14|    1.9|  122.0|  124.7|  0.378|  0.376|   29.93|
hold                            |    457|    457|  140849|  139091|      227|   30.0|  123.3|  123.3|  0.372|  0.372| 1758.82|


 Total Range         (km) ...........     20043
 Total Main Fuel          (kg) ........... [76416.69559685]
 Total Time  (hh:mm) ........     23:44


