Output file with mission profile breakdown

         FLIGHT PHASE           |   ALTITUDE    |     WEIGHT      |  DIST.  | TIME  |            SPEED              |  FUEL  |
                                | From  |   To  |Initial | Final  |         |       |Initial| Final |Initial| Final |        |
                                |   m   |   m   |   kg   |   kg   |    km   |  min  | m/s   | m/s   |  Mach |  Mach |   kg   |
                                |       |       |        |        |         |       |       |       |       |       |        |
climb_1                         |      0|   1524|  285656|  285185|       15|    1.7|  147.4|  137.4|  0.433|  0.441|  470.96|
climb_2                         |   1524|   3048|  285185|  284712|       19|    2.0|  148.3|  137.8|  0.475|  0.484|  473.57|
climb_3                         |   3048|   4572|  284712|  284214|       25|    2.4|  149.3|  138.5|  0.524|  0.534|  497.50|
climb_4                         |   4572|   6096|  284214|  283649|       36|    3.2|  150.6|  139.3|  0.579|  0.590|  564.83|
climb_5                         |   6096|   7315|  283649|  283108|       43|    3.6|  150.8|  141.4|  0.637|  0.647|  541.48|
climb_6                         |   7315|   8534|  283108|  282411|       68|    5.2|  152.3|  142.6|  0.694|  0.706|  696.45|
climb_7                         |   8534|   9449|  282411|  281908|       57|    4.2|  151.2|  146.1|  0.745|  0.751|  503.69|
cruise_1                        |   9449|   9449|  281908|  238740|     6305|  424.4|  157.4|  157.4|  0.820|  0.820|43167.95|
step_climb_1                    |   9449|  10058|  238740|  238283|       60|    4.1|  156.6|  151.3|  0.816|  0.824|  456.82|
cruise_2                        |  10058|  10058|  238283|  200143|     6305|  428.2|  150.6|  150.6|  0.820|  0.820|38140.34|
step_climb_2                    |  10058|  10668|  200143|  199822|       46|    3.2|  149.8|  144.7|  0.816|  0.824|  320.85|
cruise_3                        |  10668|   9449|  199822|  166113|     6305|  432.0|  144.0|  144.0|  0.820|  0.820|33708.75|
descent_7                       |   9449|   8839|  166113|  166107|       11|    0.8|  146.6|  151.6|  0.769|  0.762|    5.89|
descent_8                       |   8839|   8230|  166107|  166100|       11|    0.8|  145.7|  150.7|  0.735|  0.729|    6.81|
descent_9                       |   8230|   7315|  166100|  166088|       17|    1.3|  143.6|  150.9|  0.697|  0.688|   12.07|
descent_10                      |   7315|   6401|  166088|  166074|       17|    1.4|  142.7|  149.8|  0.653|  0.645|   14.52|
descent_11                      |   6401|   5486|  166074|  166056|       17|    1.5|  142.0|  148.9|  0.613|  0.606|   17.56|
descent_12                      |   5486|   4572|  166056|  166035|       17|    1.6|  141.3|  148.0|  0.576|  0.569|   20.79|
descent_13                      |   4572|   3658|  166035|  166011|       18|    1.7|  140.8|  147.3|  0.542|  0.536|   24.60|
descent_14                      |   3658|   2743|  166011|  165982|       18|    1.8|  140.3|  146.7|  0.511|  0.505|   29.21|
descent_15                      |   2743|   1829|  165982|  165949|       18|    1.9|  139.9|  146.2|  0.482|  0.477|   32.14|
descent_16                      |   1829|    914|  165949|  165915|       18|    2.0|  139.6|  145.7|  0.456|  0.451|   34.81|
reserve_climb_1                 |    914|   1829|  165915|  165769|        5|    0.6|  145.7|  139.6|  0.451|  0.456|  145.58|
reserve_climb_2                 |   1829|   3048|  165769|  165576|        8|    0.8|  147.3|  138.9|  0.481|  0.488|  192.72|
reserve_climb_3                 |   3048|   4572|  165576|  165333|       12|    1.2|  149.3|  138.5|  0.524|  0.534|  243.51|
reserve_climb_4                 |   4572|   6096|  165333|  165075|       16|    1.5|  150.6|  139.3|  0.579|  0.590|  257.56|
reserve_cruise                  |   6096|   6096|  165075|  163576|      220|   18.9|  145.5|  145.5|  0.616|  0.616| 1499.54|
reserve_descent_1               |   6096|   5182|  163576|  163557|       17|    1.5|  141.8|  148.6|  0.600|  0.593|   18.53|
reserve_descent_2               |   5182|   4267|  163557|  163535|       17|    1.6|  141.1|  147.8|  0.565|  0.558|   21.76|
reserve_descent_3               |   4267|   3353|  163535|  163510|       18|    1.7|  140.6|  147.1|  0.532|  0.526|   25.83|
reserve_descent_4               |   3353|   2438|  163510|  163479|       18|    1.8|  140.2|  146.5|  0.501|  0.496|   30.16|
reserve_descent_5               |   2438|   1524|  163479|  163447|       18|    1.9|  139.8|  146.0|  0.473|  0.468|   32.54|
reserve_descent_6               |   1524|    914|  163447|  163423|       12|    1.3|  140.5|  144.6|  0.451|  0.448|   23.42|
reserve_descent_7               |    914|    457|  163423|  163405|        9|    1.0|  140.8|  143.8|  0.436|  0.434|   18.93|
hold                            |    457|    457|  163405|  160685|      261|   30.0|  142.2|  142.2|  0.429|  0.429| 2720.05|


 Total Range         (km) ...........     20078
 Total Main Fuel          (kg) ........... [124971.73365892]
 Total Time  (hh:mm) ........     23:12


-------------------------------------------
 Wednesday, 29. November 2023 05:10:57 PM
