#   CL      CD      e  
-0.03961000 0.00115980 0.06390000
-0.03977000 0.00116900 0.06390000
-0.04012000 0.00118810 0.06400000
-0.04139000 0.00126390 0.06410000
-0.04372000 0.00142320 0.06370000
-0.04759000 0.00180910 0.06010000
0.15866000 0.00214050 0.55060000
0.15974000 0.00216260 0.55280000
0.16197000 0.00220850 0.55740000
0.17070000 0.00239240 0.57460000
0.18855000 0.00278790 0.60700000
0.22947000 0.00380230 0.66620000
0.35683000 0.00634990 0.79620000
0.35914000 0.00642270 0.79810000
0.36394000 0.00657460 0.80220000
0.38269000 0.00718370 0.81720000
0.42071000 0.00849560 0.84450000
0.50649000 0.01185170 0.89110000
0.65259000 0.01867580 0.84620000
0.65676000 0.01889550 0.84790000
0.66538000 0.01935370 0.85150000
0.69906000 0.02119180 0.86460000
0.76715000 0.02514750 0.88830000
0.91981000 0.03521990 0.92860000
0.84795000 0.03080890 0.85220000
0.85333000 0.03117250 0.85390000
0.86447000 0.03193110 0.85730000
0.90797000 0.03497420 0.86990000
0.99584000 0.04152120 0.89260000
1.19247000 0.05816690 0.93150000
1.13685000 0.05460450 0.85430000
1.14402000 0.05525000 0.85590000
1.15886000 0.05659700 0.85920000
1.21678000 0.06199970 0.87140000
1.33369000 0.07362120 0.89330000
1.59478000 0.10313790 0.93110000
