#    CM       Cm_alpha       Cn_beta       NP 
0.19667000 -2.64321100 0.18059700 21.26526700
0.19802000 -2.66011500 0.18154600 21.26555300
0.20081000 -2.69492700 0.18348900 21.26601800
0.21158000 -2.82877300 0.19084100 21.26633400
0.23287000 -3.08944800 0.20461700 21.26091900
0.27813000 -3.62891600 0.23092000 21.22945000
0.10411000 -2.65836900 0.18403800 21.27535700
0.10486000 -2.67540500 0.18501700 21.27565500
0.10643000 -2.71049300 0.18702200 21.27614500
0.11251000 -2.84543200 0.19461600 21.27655300
0.12465000 -3.10842200 0.20887200 21.27131000
0.15097000 -3.65370000 0.23621700 21.24020400
0.01123000 -2.66057600 0.18870400 21.28136200
0.01140000 -2.67766000 0.18972200 21.28169000
0.01173000 -2.71285300 0.19181000 21.28224400
0.01309000 -2.84822900 0.19972100 21.28290000
0.01604000 -3.11225100 0.21461500 21.27815100
0.02326000 -3.66068300 0.24336200 21.24814100
-0.12765000 -2.63959600 0.19794900 21.28269700
-0.12838000 -2.65659800 0.19904400 21.28310900
-0.12989000 -2.69162500 0.20129000 21.28383400
-0.13560000 -2.82642000 0.20981900 21.28516100
-0.14648000 -3.08958000 0.22595800 21.28177300
-0.16798000 -3.63773000 0.25746500 21.25482200
-0.21930000 -2.60951500 0.20556600 21.27835300
-0.22063000 -2.62635900 0.20672300 21.27884400
-0.22335000 -2.66106300 0.20909800 21.27973400
-0.23375000 -2.79464800 0.21812900 21.28171100
-0.25377000 -3.05563000 0.23528400 21.27965300
-0.29436000 -3.60025300 0.26905700 21.25571700
-0.35426000 -2.54061900 0.21908000 21.26354700
-0.35645000 -2.55707200 0.22034500 21.26419400
-0.36097000 -2.59097400 0.22294600 21.26540900
-0.37830000 -2.72152800 0.23286100 21.26866900
-0.41185000 -2.97686300 0.25180700 21.26925100
-0.48071000 -3.51123000 0.28959100 21.25135300
