#   CL      CD      e  
-0.08412000 0.00036670 0.54940000
-0.08461000 0.00037030 0.55090000
-0.08563000 0.00037770 0.55400000
-0.08954000 0.00040710 0.56540000
-0.09724000 0.00046810 0.58550000
-0.11316000 0.00060860 0.61820000
0.09469000 0.00030410 0.95330000
0.09536000 0.00030820 0.95370000
0.09674000 0.00031680 0.95450000
0.10216000 0.00035170 0.95740000
0.11320000 0.00042840 0.96170000
0.13822000 0.00063110 0.96580000
0.27352000 0.00243380 0.94890000
0.27535000 0.00246510 0.94970000
0.27913000 0.00253030 0.95120000
0.29390000 0.00279240 0.95690000
0.32370000 0.00335820 0.96640000
0.38977000 0.00479460 0.98050000
0.54081000 0.00973040 0.91790000
0.54438000 0.00985210 0.91890000
0.55175000 0.01010600 0.92090000
0.58050000 0.01112490 0.92810000
0.63833000 0.01331400 0.94050000
0.76581000 0.01880840 0.95990000
0.71773000 0.01727970 0.90850000
0.72244000 0.01749440 0.90950000
0.73218000 0.01794220 0.91160000
0.77016000 0.01973860 0.91920000
0.84651000 0.02359450 0.93240000
1.01457000 0.03324970 0.95320000
0.98009000 0.03246390 0.90030000
0.98649000 0.03286510 0.90140000
0.99974000 0.03370210 0.90360000
1.05134000 0.03705860 0.91150000
1.15504000 0.04425940 0.92530000
1.38298000 0.06226700 0.94720000
