#   CL      CD      e  
-0.02780000 0.00203640 0.01270000
-0.02784000 0.00204420 0.01270000
-0.02793000 0.00206030 0.01270000
-0.02817000 0.00212260 0.01250000
-0.02805000 0.00224600 0.01180000
-0.02418000 0.00251250 0.00800000
0.15107000 0.00273960 0.28690000
0.15219000 0.00275650 0.28930000
0.15450000 0.00279150 0.29440000
0.16361000 0.00293030 0.31440000
0.18251000 0.00322310 0.35490000
0.22744000 0.00396310 0.44380000
0.32984000 0.00563830 0.63730000
0.33211000 0.00569080 0.64000000
0.33683000 0.00580030 0.64570000
0.35530000 0.00623830 0.66690000
0.39297000 0.00717620 0.70620000
0.47904000 0.00956860 0.77800000
0.59681000 0.01407890 0.80540000
0.60082000 0.01423490 0.80730000
0.60911000 0.01456010 0.81120000
0.64155000 0.01586300 0.82580000
0.70725000 0.01865950 0.85200000
0.85473000 0.02574410 0.89670000
0.77335000 0.02237520 0.84120000
0.77850000 0.02263260 0.84280000
0.78917000 0.02316960 0.84620000
0.83082000 0.02532150 0.85870000
0.91500000 0.02994050 0.88090000
1.10299000 0.04160730 0.91840000
1.03493000 0.03863980 0.86400000
1.04177000 0.03909620 0.86540000
1.05592000 0.04004830 0.86840000
1.11115000 0.04386510 0.87930000
1.22260000 0.05205750 0.89860000
1.47027000 0.07269740 0.93070000
