#    CM       Cm_alpha       Cn_beta       NP 
0.19752000 -2.64323000 0.18069400 21.26543800
0.19887000 -2.66013500 0.18164300 21.26572500
0.20165000 -2.69495200 0.18358700 21.26619400
0.21242000 -2.82881300 0.19094000 21.26652400
0.23365000 -3.08952200 0.20471800 21.26113700
0.27866000 -3.62907400 0.23102400 21.22972600
0.10495000 -2.65844800 0.18410300 21.27550400
0.10571000 -2.67548500 0.18508200 21.27580300
0.10727000 -2.71057700 0.18708700 21.27629500
0.11334000 -2.84553100 0.19468000 21.27671200
0.12543000 -3.10855100 0.20893500 21.27148600
0.15150000 -3.65389500 0.23627400 21.24041300
0.01208000 -2.66071400 0.18873700 21.28148300
0.01224000 -2.67780000 0.18975500 21.28181200
0.01257000 -2.71299600 0.19184200 21.28236700
0.01392000 -2.84838600 0.19975100 21.28302700
0.01681000 -3.11243500 0.21463900 21.27828400
0.02378000 -3.66091500 0.24337200 21.24828200
-0.12682000 -2.63982100 0.19793400 21.28277900
-0.12755000 -2.65682600 0.19902800 21.28319000
-0.12905000 -2.69185600 0.20127200 21.28391500
-0.13479000 -2.82666300 0.20979600 21.28523800
-0.14572000 -3.08984400 0.22592400 21.28184100
-0.16748000 -3.63801600 0.25740400 21.25485900
-0.21848000 -2.60979800 0.20551800 21.27840800
-0.21980000 -2.62664400 0.20667400 21.27889800
-0.22252000 -2.66135000 0.20904700 21.27978700
-0.23294000 -2.79494600 0.21807200 21.28175500
-0.25302000 -3.05594500 0.23521100 21.27967700
-0.29387000 -3.60057200 0.26895000 21.25568300
-0.35345000 -2.54098500 0.21898400 21.26356300
-0.35564000 -2.55744000 0.22024900 21.26420900
-0.36016000 -2.59134500 0.22284700 21.26542000
-0.37751000 -2.72190700 0.23275200 21.26866200
-0.41112000 -2.97725400 0.25167700 21.26920800
-0.48024000 -3.51159700 0.28941400 21.25121000
