#   CL      CD      e  
-0.02420000 0.00200010 0.00980000
-0.02423000 0.00200760 0.00970000
-0.02427000 0.00202330 0.00970000
-0.02432000 0.00208390 0.00950000
-0.02383000 0.00220480 0.00870000
-0.01911000 0.00247190 0.00510000
0.15468000 0.00274370 0.30070000
0.15581000 0.00276090 0.30320000
0.15817000 0.00279670 0.30850000
0.16747000 0.00293880 0.32900000
0.18674000 0.00324010 0.37050000
0.23253000 0.00400840 0.46050000
0.33344000 0.00568280 0.64740000
0.33574000 0.00573640 0.65010000
0.34050000 0.00584790 0.65570000
0.35916000 0.00629420 0.67680000
0.39720000 0.00725170 0.71570000
0.48412000 0.00970030 0.78620000
0.60040000 0.01418390 0.81040000
0.60443000 0.01434170 0.81230000
0.61277000 0.01467080 0.81620000
0.64540000 0.01598970 0.83060000
0.71147000 0.01882200 0.85630000
0.85980000 0.02600420 0.90010000
0.77692000 0.02251970 0.84480000
0.78210000 0.02277950 0.84640000
0.79281000 0.02332160 0.84980000
0.83464000 0.02549440 0.86210000
0.91920000 0.03015990 0.88390000
1.10803000 0.04195140 0.92060000
1.03846000 0.03884160 0.86640000
1.04532000 0.03930120 0.86790000
1.05952000 0.04026020 0.87080000
1.11493000 0.04410490 0.88160000
1.22674000 0.05235920 0.90060000
1.47524000 0.07316300 0.93220000
