 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  490.60       Cref =  8.4083       Bref =  70.000    
  Xref =  29.948       Yref =  0.0000       Zref =-0.24644    

  Surface # 1     main_wing                               
     # Chordwise = 10   # Spanwise = 80     First strip =  1
     Surface area Ssurf =  250.220919     Ave. chord Cave =    7.118898

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =  -0.00177     Clsurf  =   0.00504
     CYsurf  =   0.00023     Cmsurf  =   0.00196
     CDsurf  =   0.00091     Cnsurf  =  -0.00019
     CDisurf =   0.00091     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =  -0.00349     CDsurf  =   0.00178

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1  22.4080   0.0036  -0.9570  12.4590   0.1808   0.7186  -0.0829   0.0577   0.0577  -0.0014   0.0000  -0.0350  -0.0494    0.857
     2  22.4080   0.0327  -0.9570  12.4590   0.5422   0.7186  -0.0829   0.0577   0.0577  -0.0014   0.0000  -0.0350  -0.0494    0.857
     3  22.4080   0.0907  -0.9570  12.4590   0.9028   0.7190  -0.0829   0.0577   0.0577  -0.0014   0.0000  -0.0350  -0.0495    0.857
     4  22.4080   0.1775  -0.9570  12.4590   1.2619   0.7204  -0.0830   0.0578   0.0578  -0.0014   0.0000  -0.0351  -0.0496    0.857
     5  22.4080   0.2932  -0.9570  12.4590   1.6191   0.7236  -0.0833   0.0581   0.0581  -0.0014   0.0000  -0.0353  -0.0498    0.857
     6  22.4080   0.4374  -0.9570  12.4590   1.9739   0.7300  -0.0838   0.0586   0.0586  -0.0013   0.0000  -0.0355  -0.0502    0.857
     7  22.4080   0.6100  -0.9570  12.4590   2.3255   0.7410  -0.0845   0.0595   0.0595  -0.0013   0.0000  -0.0360  -0.0509    0.856
     8  22.4080   0.8106  -0.9570  12.4590   2.6736   0.7590  -0.0856   0.0609   0.0609  -0.0013   0.0000  -0.0368  -0.0520    0.854
     9  22.4080   1.0391  -0.9570  12.4590   3.0176   0.7866  -0.0869   0.0631   0.0631  -0.0014   0.0000  -0.0380  -0.0537    0.851
    10  22.4080   1.2949  -0.9570  12.4590   3.3569   0.8278  -0.0879   0.0664   0.0664  -0.0014   0.0000  -0.0397  -0.0563    0.847
