 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  490.60       Cref =  8.4083       Bref =  70.000    
  Xref =  0.0000       Yref =  0.0000       Zref =  0.0000    

  Surface # 1     main_wing                               
     # Chordwise = 10   # Spanwise = 70     First strip =  1
     Surface area Ssurf =  250.220834     Ave. chord Cave =    7.118896

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.00399     Clsurf  =   0.00447
     CYsurf  =  -0.00031     Cmsurf  =  -0.01266
     CDsurf  =   0.00100     Cnsurf  =  -0.00002
     CDisurf =   0.00100     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.00785     CDsurf  =   0.00196

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1  22.4080   0.0042  -0.9570  12.4590   0.2104   0.9385  -0.0909   0.0753   0.0753  -0.0017   0.0000  -0.0400  -0.0588    0.781
     2  22.4080   0.0380  -0.9570  12.4590   0.6307   0.9386  -0.0909   0.0753   0.0753  -0.0017   0.0000  -0.0400  -0.0588    0.781
     3  22.4080   0.1054  -0.9570  12.4590   1.0498   0.9393  -0.0910   0.0754   0.0754  -0.0017   0.0000  -0.0400  -0.0589    0.781
     4  22.4080   0.2065  -0.9570  12.4590   1.4668   0.9414  -0.0911   0.0755   0.0755  -0.0017   0.0000  -0.0401  -0.0590    0.781
     5  22.4080   0.3408  -0.9570  12.4590   1.8808   0.9465  -0.0915   0.0760   0.0760  -0.0016   0.0000  -0.0404  -0.0594    0.781
     6  22.4080   0.5083  -0.9570  12.4590   2.2910   0.9565  -0.0922   0.0768   0.0768  -0.0016   0.0000  -0.0408  -0.0600    0.782
     7  22.4080   0.7085  -0.9570  12.4590   2.6966   0.9740  -0.0933   0.0782   0.0782  -0.0016   0.0000  -0.0416  -0.0611    0.782
     8  22.4080   0.9411  -0.9570  12.4590   3.0968   1.0026  -0.0947   0.0805   0.0805  -0.0017   0.0000  -0.0428  -0.0629    0.782
     9  22.4080   1.2055  -0.9570  12.4590   3.4907   1.0471  -0.0962   0.0840   0.0840  -0.0017   0.0000  -0.0446  -0.0656    0.781
    10  22.4080   1.5013  -0.9570  12.4590   3.8776   1.1148  -0.0967   0.0895   0.0895  -0.0018   0.0000  -0.0474  -0.0698    0.780
    11  22.4080   1.8278  -0.9570  12.4590   4.2567   1.2181  -0.0948   0.0978   0.0978  -0.0019   0.0000  -0.0516  -0.0760    0.778
    12  22.4080   2.1844  -0.9570  12.4590   4.6273   1.3815  -0.0889   0.1109   0.1109  -0.0020   0.0000  -0.0581  -0.0858    0.774
    13  22.4080   2.5704  -0.9570  12.4590   4.9885   1.6734  -0.0771   0.1344   0.1344  -0.0012   0.0000  -0.0695  -0.1031    0.767
    14  22.5966   3.0754  -0.9200  12.2979   7.5875   2.4163   0.3642   0.2443   0.1980   0.0391   0.0000  -0.0993  -0.1260    0.752
    15  22.9924   3.7075  -0.8424  11.9598   7.8494   2.4023   0.3844   0.2496   0.2023   0.0370   0.0000  -0.1006  -0.1279    0.747
    16  23.3450   4.2708  -0.7732  11.6585   5.5431   1.5413  -0.0366   0.1631   0.1322  -0.0037   0.0000  -0.0668  -0.0847    0.755
    17  23.6484   4.7553  -0.7137  11.3993   5.7056   1.1650  -0.0362   0.1261   0.1022  -0.0023   0.0000  -0.0522  -0.0660    0.761
    18  23.9670   5.2641  -0.6513  11.1271   5.8372   0.9132  -0.0354   0.1013   0.0821  -0.0017   0.0000  -0.0427  -0.0536    0.770
    19  24.3002   5.7964  -0.5859  10.8424   5.9373   0.7239  -0.0339   0.0824   0.0668  -0.0013   0.0000  -0.0359  -0.0446    0.787
    20  24.6474   6.3509  -0.5178  10.5458   6.0058   0.5734  -0.0318   0.0671   0.0544  -0.0011   0.0000  -0.0307  -0.0376    0.814
    21  25.0079   6.9266  -0.4471  10.2379   6.0430   0.4496  -0.0294   0.0542   0.0439  -0.0009   0.0000  -0.0267  -0.0320    0.858
    22  25.3809   7.5223  -0.3740   9.9192   6.0490   0.3452  -0.0265   0.0429   0.0348  -0.0007   0.0000  -0.0236  -0.0274    0.927
    23  25.7657   8.1368  -0.2985   9.5905   6.0244   0.2557  -0.0234   0.0329   0.0267  -0.0006   0.0000  -0.0211  -0.0236    1.042
    24  26.1614   8.7690  -0.2209   9.2523   5.9700   0.1778  -0.0201   0.0237   0.0192  -0.0005   0.0000  -0.0192  -0.0204    1.248
