 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  490.60       Cref =  8.4083       Bref =  70.000    
  Xref =  29.948       Yref =  0.0000       Zref =-0.24644    

  Surface # 1     main_wing                               
     # Chordwise = 10   # Spanwise = 80     First strip =  1
     Surface area Ssurf =  250.220919     Ave. chord Cave =    7.118898

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.08663     Clsurf  =  -0.01313
     CYsurf  =  -0.00759     Cmsurf  =  -0.01905
     CDsurf  =   0.00152     Cnsurf  =   0.00022
     CDisurf =   0.00152     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.17050     CDsurf  =   0.00297

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1  22.4080   0.0036  -0.9570  12.4590   0.1808   2.4692  -0.0465   0.1982   0.1982   0.0023   0.0000  -0.0417  -0.0913    0.461
     2  22.4080   0.0327  -0.9570  12.4590   0.5422   2.4692  -0.0465   0.1982   0.1982   0.0023   0.0000  -0.0417  -0.0913    0.461
     3  22.4080   0.0907  -0.9570  12.4590   0.9028   2.4696  -0.0465   0.1982   0.1982   0.0022   0.0000  -0.0418  -0.0913    0.461
     4  22.4080   0.1775  -0.9570  12.4590   1.2619   2.4709  -0.0466   0.1983   0.1983   0.0022   0.0000  -0.0418  -0.0914    0.461
     5  22.4080   0.2932  -0.9570  12.4590   1.6191   2.4741  -0.0468   0.1986   0.1986   0.0021   0.0000  -0.0420  -0.0916    0.462
     6  22.4080   0.4374  -0.9570  12.4590   1.9739   2.4803  -0.0472   0.1991   0.1991   0.0021   0.0000  -0.0423  -0.0921    0.463
     7  22.4080   0.6100  -0.9570  12.4590   2.3255   2.4912  -0.0479   0.1999   0.1999   0.0021   0.0000  -0.0429  -0.0928    0.464
     8  22.4080   0.8106  -0.9570  12.4590   2.6736   2.5087  -0.0487   0.2014   0.2014   0.0020   0.0000  -0.0437  -0.0940    0.467
     9  22.4080   1.0391  -0.9570  12.4590   3.0176   2.5357  -0.0498   0.2035   0.2035   0.0020   0.0000  -0.0450  -0.0959    0.471
    10  22.4080   1.2949  -0.9570  12.4590   3.3569   2.5761  -0.0509   0.2068   0.2068   0.0021   0.0000  -0.0469  -0.0986    0.477
    11  22.4080   1.5778  -0.9570  12.4590   3.6910   2.6358  -0.0514   0.2116   0.2116   0.0021   0.0000  -0.0496  -0.1025    0.484
    12  22.4080   1.8873  -0.9570  12.4590   4.0195   2.7245  -0.0507   0.2187   0.2187   0.0022   0.0000  -0.0535  -0.1082    0.495
    13  22.4080   2.2230  -0.9570  12.4590   4.3417   2.8620  -0.0479   0.2297   0.2297   0.0026   0.0000  -0.0594  -0.1168    0.509
    14  22.4080   2.5842  -0.9570  12.4590   4.6573   3.1058  -0.0420   0.2493   0.2493   0.0051   0.0000  -0.0693  -0.1317    0.528
    15  22.4974   2.9170  -0.9395  12.3826   3.6189   3.6746   0.3862   0.3679   0.2968   0.0502   0.0000  -0.0920  -0.1411    0.560
    16  22.6846   3.2159  -0.9028  12.2227   3.7885   3.8345   0.3951   0.3889   0.3137   0.0489   0.0000  -0.0992  -0.1508    0.566
    17  22.8826   3.5322  -0.8639  12.0536   3.9437   3.8303   0.4018   0.3939   0.3178   0.0470   0.0000  -0.0997  -0.1522    0.564
    18  23.0912   3.8653  -0.8230  11.8754   4.0839   3.6265   0.4051   0.3785   0.3054   0.0415   0.0000  -0.0923  -0.1432    0.552
    19  23.3498   4.2783  -0.7723  11.6545   5.7066   2.9281  -0.0169   0.3114   0.2512   0.0013   0.0000  -0.0645  -0.1081    0.507
    20  23.6607   4.7750  -0.7113  11.3888   5.8186   2.5997  -0.0163   0.2829   0.2283   0.0015   0.0000  -0.0518  -0.0924    0.477
    21  23.9847   5.2923  -0.6478  11.1120   5.9047   2.3736  -0.0154   0.2648   0.2136   0.0014   0.0000  -0.0433  -0.0821    0.453
    22  24.3210   5.8296  -0.5818  10.8247   5.9646   2.1992  -0.0141   0.2518   0.2032   0.0011   0.0000  -0.0371  -0.0747    0.433
    23  24.6694   6.3859  -0.5135  10.5270   5.9985   2.0564  -0.0126   0.2421   0.1953   0.0009   0.0000  -0.0324  -0.0690    0.416
    24  25.0291   6.9605  -0.4430  10.2197   6.0065   1.9350  -0.0109   0.2347   0.1893   0.0006   0.0000  -0.0287  -0.0646    0.402
    25  25.3998   7.5524  -0.3703   9.9031   5.9889   1.8287  -0.0093   0.2289   0.1847   0.0004   0.0000  -0.0258  -0.0611    0.390
    26  25.7806   8.1608  -0.2956   9.5777   5.9462   1.7337  -0.0077   0.2244   0.1810   0.0002   0.0000  -0.0235  -0.0584    0.380
    27  26.1712   8.7846  -0.2190   9.2440   5.8788   1.6474  -0.0063   0.2209   0.1782   0.0001   0.0000  -0.0216  -0.0562    0.371
    28  26.5709   9.4230  -0.1406   8.9025   5.7875   1.5681  -0.0056   0.2183   0.1761  -0.0001   0.0000  -0.0202  -0.0546    0.365
    29  26.9647  10.0557  -0.0738   8.6530   5.3824   1.4997  -0.0043   0.2267   0.1733  -0.0002   0.0000  -0.0189  -0.0530    0.359
    30  27.3514  10.6811  -0.0191   8.4988   5.3831   1.4425  -0.0015   0.2220   0.1697  -0.0004   0.0000  -0.0177  -0.0512    0.354
    31  27.7448  11.3174   0.0366   8.3420   5.3704   1.3895   0.0003   0.2179   0.1666  -0.0005   0.0000  -0.0169  -0.0498    0.351
    32  28.1443  11.9635   0.0931   8.1827   5.3448   1.3395   0.0014   0.2141   0.1637  -0.0005   0.0000  -0.0163  -0.0487    0.350
    33  28.5492  12.6185   0.1504   8.0213   5.3066   1.2917   0.0021   0.2106   0.1610  -0.0006   0.0000  -0.0159  -0.0478    0.349
    34  28.9591  13.2814   0.2084   7.8579   5.2564   1.2456   0.0025   0.2073   0.1585  -0.0006   0.0000  -0.0157  -0.0471    0.349
    35  29.3731  13.9510   0.2670   7.6928   5.1948   1.2008   0.0028   0.2041   0.1561  -0.0007   0.0000  -0.0156  -0.0465    0.350
