 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  490.60       Cref =  8.4083       Bref =  70.000    
  Xref =  0.0000       Yref =  0.0000       Zref =  0.0000    

  Surface # 1     main_wing                               
     # Chordwise = 10   # Spanwise = 70     First strip =  1
     Surface area Ssurf =  250.220834     Ave. chord Cave =    7.118896

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.39846     Clsurf  =  -0.07647
     CYsurf  =  -0.02134     Cmsurf  =  -1.50534
     CDsurf  =   0.01162     Cnsurf  =  -0.00066
     CDisurf =   0.01162     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.78197     CDsurf  =   0.02278

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1  22.4080   0.0042  -0.9570  12.4590   0.2104   8.5455   0.0731   0.6844   0.6844   0.0541   0.0000  -0.0540  -0.2255    0.329
     2  22.4080   0.0380  -0.9570  12.4590   0.6307   8.5456   0.0731   0.6844   0.6844   0.0539   0.0000  -0.0540  -0.2255    0.329
     3  22.4080   0.1054  -0.9570  12.4590   1.0498   8.5461   0.0730   0.6845   0.6845   0.0536   0.0000  -0.0541  -0.2256    0.329
     4  22.4080   0.2065  -0.9570  12.4590   1.4668   8.5480   0.0730   0.6847   0.6847   0.0534   0.0000  -0.0542  -0.2257    0.329
     5  22.4080   0.3408  -0.9570  12.4590   1.8808   8.5526   0.0730   0.6851   0.6851   0.0531   0.0000  -0.0545  -0.2261    0.330
     6  22.4080   0.5083  -0.9570  12.4590   2.2910   8.5615   0.0729   0.6858   0.6858   0.0530   0.0000  -0.0551  -0.2269    0.330
     7  22.4080   0.7085  -0.9570  12.4590   2.6966   8.5771   0.0726   0.6871   0.6871   0.0531   0.0000  -0.0561  -0.2282    0.332
     8  22.4080   0.9411  -0.9570  12.4590   3.0968   8.6026   0.0721   0.6891   0.6891   0.0535   0.0000  -0.0577  -0.2303    0.334
     9  22.4080   1.2055  -0.9570  12.4590   3.4907   8.6427   0.0710   0.6922   0.6922   0.0543   0.0000  -0.0601  -0.2335    0.337
    10  22.4080   1.5013  -0.9570  12.4590   3.8776   8.7044   0.0683   0.6971   0.6971   0.0557   0.0000  -0.0637  -0.2384    0.341
    11  22.4080   1.8278  -0.9570  12.4590   4.2567   8.8003   0.0632   0.7045   0.7045   0.0580   0.0000  -0.0690  -0.2456    0.348
    12  22.4080   2.1844  -0.9570  12.4590   4.6273   8.9581   0.0548   0.7167   0.7167   0.0626   0.0000  -0.0770  -0.2568    0.357
    13  22.4080   2.5704  -0.9570  12.4590   4.9885   9.2929   0.0427   0.7413   0.7413   0.0832   0.0000  -0.0906  -0.2771    0.372
    14  22.5966   3.0754  -0.9200  12.2979   7.5875   9.9556   0.4480   1.0010   0.7986   0.1386   0.0000  -0.1195  -0.2772    0.400
    15  22.9924   3.7075  -0.8424  11.9598   7.8494   9.8633   0.4400   1.0220   0.8153   0.1268   0.0000  -0.1179  -0.2792    0.395
    16  23.3450   4.2708  -0.7732  11.6585   5.5431   8.9728   0.0264   0.9640   0.7690   0.0516   0.0000  -0.0828  -0.2377    0.358
    17  23.6484   4.7553  -0.7137  11.3993   5.7056   8.5592   0.0301   0.9410   0.7507   0.0466   0.0000  -0.0668  -0.2201    0.339
    18  23.9670   5.2641  -0.6513  11.1271   5.8372   8.2627   0.0336   0.9312   0.7429   0.0421   0.0000  -0.0560  -0.2092    0.325
    19  24.3002   5.7964  -0.5859  10.8424   5.9373   8.0217   0.0364   0.9284   0.7407   0.0380   0.0000  -0.0480  -0.2018    0.315
    20  24.6474   6.3509  -0.5178  10.5458   6.0058   7.8124   0.0383   0.9302   0.7421   0.0343   0.0000  -0.0417  -0.1968    0.306
    21  25.0079   6.9266  -0.4471  10.2379   6.0430   7.6227   0.0391   0.9355   0.7463   0.0309   0.0000  -0.0368  -0.1935    0.299
    22  25.3809   7.5223  -0.3740   9.9192   6.0490   7.4453   0.0385   0.9436   0.7528   0.0276   0.0000  -0.0330  -0.1915    0.294
    23  25.7657   8.1368  -0.2985   9.5905   6.0244   7.2755   0.0364   0.9542   0.7612   0.0246   0.0000  -0.0300  -0.1908    0.289
    24  26.1614   8.7690  -0.2209   9.2523   5.9700   7.1102   0.0323   0.9671   0.7715   0.0217   0.0000  -0.0277  -0.1911    0.286
    25  26.5674   9.4174  -0.1413   8.9055   5.8867   6.9467   0.0255   0.9821   0.7835   0.0190   0.0000  -0.0262  -0.1923    0.283
    26  27.0024  10.1168  -0.0685   8.6379   6.4402   6.7795   0.0204   1.0391   0.7887   0.0164   0.0000  -0.0222  -0.1891    0.278
    27  27.4662  10.8669  -0.0029   8.4530   6.4244   6.6457   0.0216   1.0413   0.7904   0.0139   0.0000  -0.0196  -0.1873    0.275
    28  27.9384  11.6306   0.0640   8.2648   6.3881   6.5154   0.0222   1.0445   0.7928   0.0117   0.0000  -0.0178  -0.1862    0.272
    29  28.4181  12.4065   0.1318   8.0736   6.3319   6.3865   0.0230   1.0484   0.7958   0.0097   0.0000  -0.0165  -0.1857    0.271
    30  28.9043  13.1928   0.2006   7.8797   6.2569   6.2575   0.0240   1.0528   0.7991   0.0080   0.0000  -0.0156  -0.1856    0.270
    31  29.3961  13.9881   0.2702   7.6837   6.1641   6.1273   0.0250   1.0574   0.8026   0.0064   0.0000  -0.0150  -0.1858    0.269
    32  29.8923  14.7908   0.3404   7.4858   6.0545   5.9953   0.0258   1.0622   0.8063   0.0050   0.0000  -0.0146  -0.1862    0.268
    33  30.3921  15.5992   0.4112   7.2866   5.9293   5.8609   0.0265   1.0670   0.8099   0.0037   0.0000  -0.0145  -0.1868    0.268
    34  30.8945  16.4116   0.4822   7.0863   5.7897   5.7239   0.0269   1.0717   0.8135   0.0025   0.0000  -0.0145  -0.1876    0.268
    35  31.3984  17.2266   0.5535   6.8855   5.6369   5.5838   0.0270   1.0762   0.8169   0.0014   0.0000  -0.0146  -0.1884    0.268
    36  31.9027  18.0423   0.6249   6.6844   5.4723   5.4407   0.0269   1.0803   0.8200   0.0004   0.0000  -0.0149  -0.1893    0.268
    37  32.4066  18.8573   0.6962   6.4835   5.2972   5.2944   0.0265   1.0840   0.8228  -0.0005   0.0000  -0.0155  -0.1904    0.269
    38  32.9089  19.6698   0.7673   6.2832   5.1129   5.1453   0.0259   1.0871   0.8252  -0.0010   0.0000  -0.0166  -0.1918    0.270
    39  33.4087  20.4781   0.8380   6.0840   4.9207   4.9942   0.0250   1.0898   0.8272  -0.0011   0.0000  -0.0186  -0.1939    0.272
    40  33.9050  21.2808   0.9082   5.8861   4.7221   4.8421   0.0240   1.0919   0.8288   0.0004   0.0000  -0.0221  -0.1973    0.277
    41  34.3967  22.0761   0.9778   5.6901   4.5183   4.6915   0.0229   1.0931   0.8297   0.0077   0.0000  -0.0292  -0.2037    0.285
    42  34.7955  22.7211   1.0342   5.5311   2.7734   4.5628   0.0223   1.1010   0.8358  -0.0376   0.0000  -0.0510  -0.2222    0.311
    43  35.1799  23.3428   1.0886   5.3779   4.0090   4.4372   0.0219   1.0986   0.8339  -0.0210   0.0000  -0.0582  -0.2284    0.320
    44  35.6353  24.0794   1.1531   5.1963   3.8090   4.2957   0.0216   1.0999   0.8349  -0.0161   0.0000  -0.0612  -0.2312    0.323
    45  36.0826  24.8028   1.2163   5.0180   3.6083   4.1549   0.0215   1.1013   0.8360  -0.0143   0.0000  -0.0626  -0.2327    0.325
    46  36.5209  25.5117   1.2784   4.8433   3.4082   4.0158   0.0217   1.1028   0.8371  -0.0137   0.0000  -0.0632  -0.2335    0.326
    47  36.9492  26.2045   1.3390   4.6725   3.2096   3.8786   0.0221   1.1040   0.8380  -0.0135   0.0000  -0.0634  -0.2338    0.326
    48  37.3668  26.8799   1.3981   4.5060   3.0133   3.7429   0.0228   1.1047   0.8386  -0.0136   0.0000  -0.0634  -0.2339    0.326
    49  37.7728  27.5366   1.4555   4.3442   2.8202   3.6087   0.0238   1.1048   0.8386  -0.0137   0.0000  -0.0631  -0.2337    0.325
    50  38.1664  28.1731   1.5112   4.1873   2.6312   3.4756   0.0251   1.1040   0.8380  -0.0140   0.0000  -0.0627  -0.2332    0.325
