 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  490.60       Cref =  8.4083       Bref =  70.000    
  Xref =  0.0000       Yref =  0.0000       Zref =  0.0000    

  Surface # 1     main_wing                               
     # Chordwise = 10   # Spanwise = 70     First strip =  1
     Surface area Ssurf =  250.220834     Ave. chord Cave =    7.118896

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.00663     Clsurf  =   0.00449
     CYsurf  =  -0.00053     Cmsurf  =  -0.02451
     CDsurf  =   0.00109     Cnsurf  =   0.00009
     CDisurf =   0.00109     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.01304     CDsurf  =   0.00213

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1  22.4080   0.0042  -0.9570  12.4590   0.2104   1.1186  -0.0906   0.0898   0.0898  -0.0022   0.0000  -0.0521  -0.0745    0.830
     2  22.4080   0.0380  -0.9570  12.4590   0.6307   1.1187  -0.0906   0.0898   0.0898  -0.0021   0.0000  -0.0521  -0.0745    0.830
     3  22.4080   0.1054  -0.9570  12.4590   1.0498   1.1194  -0.0907   0.0898   0.0898  -0.0021   0.0000  -0.0521  -0.0746    0.830
     4  22.4080   0.2065  -0.9570  12.4590   1.4668   1.1216  -0.0908   0.0900   0.0900  -0.0021   0.0000  -0.0522  -0.0747    0.830
     5  22.4080   0.3408  -0.9570  12.4590   1.8808   1.1267  -0.0912   0.0904   0.0904  -0.0021   0.0000  -0.0524  -0.0750    0.830
     6  22.4080   0.5083  -0.9570  12.4590   2.2910   1.1369  -0.0919   0.0912   0.0912  -0.0020   0.0000  -0.0529  -0.0757    0.830
     7  22.4080   0.7085  -0.9570  12.4590   2.6966   1.1548  -0.0931   0.0927   0.0927  -0.0020   0.0000  -0.0537  -0.0768    0.829
     8  22.4080   0.9411  -0.9570  12.4590   3.0968   1.1838  -0.0945   0.0950   0.0950  -0.0020   0.0000  -0.0549  -0.0787    0.828
     9  22.4080   1.2055  -0.9570  12.4590   3.4907   1.2289  -0.0960   0.0986   0.0986  -0.0021   0.0000  -0.0568  -0.0815    0.826
    10  22.4080   1.5013  -0.9570  12.4590   3.8776   1.2975  -0.0963   0.1041   0.1041  -0.0021   0.0000  -0.0596  -0.0856    0.823
    11  22.4080   1.8278  -0.9570  12.4590   4.2567   1.4019  -0.0940   0.1125   0.1125  -0.0022   0.0000  -0.0638  -0.0920    0.817
    12  22.4080   2.1844  -0.9570  12.4590   4.6273   1.5668  -0.0874   0.1258   0.1258  -0.0021   0.0000  -0.0704  -0.1018    0.810
