 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  490.60       Cref =  8.4083       Bref =  70.000    
  Xref =  29.948       Yref =  0.0000       Zref =-0.24644    

  Surface # 1     main_wing                               
     # Chordwise = 10   # Spanwise = 80     First strip =  1
     Surface area Ssurf =  250.220919     Ave. chord Cave =    7.118898

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.57576     Clsurf  =  -0.11318
     CYsurf  =  -0.02239     Cmsurf  =  -0.14374
     CDsurf  =   0.02300     Cnsurf  =  -0.02160
     CDisurf =   0.02300     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   1.12856     CDsurf  =   0.04510

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1  22.4080   0.0036  -0.9570  12.4590   0.1808  11.7285   0.1412   0.9366   0.9366   0.1092   0.0000  -0.0662  -0.3015    0.321
     2  22.4080   0.0327  -0.9570  12.4590   0.5422  11.7285   0.1412   0.9367   0.9367   0.1090   0.0000  -0.0662  -0.3015    0.321
     3  22.4080   0.0907  -0.9570  12.4590   0.9028  11.7289   0.1412   0.9368   0.9368   0.1087   0.0000  -0.0662  -0.3016    0.321
     4  22.4080   0.1775  -0.9570  12.4590   1.2619  11.7301   0.1412   0.9369   0.9369   0.1083   0.0000  -0.0663  -0.3017    0.321
     5  22.4080   0.2932  -0.9570  12.4590   1.6191  11.7328   0.1413   0.9372   0.9372   0.1080   0.0000  -0.0666  -0.3020    0.321
     6  22.4080   0.4374  -0.9570  12.4590   1.9739  11.7382   0.1415   0.9377   0.9377   0.1078   0.0000  -0.0670  -0.3025    0.321
     7  22.4080   0.6100  -0.9570  12.4590   2.3255  11.7477   0.1418   0.9385   0.9385   0.1078   0.0000  -0.0678  -0.3035    0.322
     8  22.4080   0.8106  -0.9570  12.4590   2.6736  11.7631   0.1420   0.9396   0.9396   0.1081   0.0000  -0.0689  -0.3050    0.323
     9  22.4080   1.0391  -0.9570  12.4590   3.0176  11.7870   0.1420   0.9415   0.9415   0.1089   0.0000  -0.0707  -0.3072    0.325
    10  22.4080   1.2949  -0.9570  12.4590   3.3569  11.8232   0.1409   0.9441   0.9441   0.1104   0.0000  -0.0733  -0.3106    0.328
    11  22.4080   1.5778  -0.9570  12.4590   3.6910  11.8779   0.1374   0.9481   0.9481   0.1130   0.0000  -0.0770  -0.3153    0.331
    12  22.4080   1.8873  -0.9570  12.4590   4.0195  11.9627   0.1299   0.9543   0.9543   0.1173   0.0000  -0.0822  -0.3223    0.336
    13  22.4080   2.2230  -0.9570  12.4590   4.3417  12.1066   0.1169   0.9644   0.9644   0.1263   0.0000  -0.0898  -0.3327    0.343
    14  22.4080   2.5842  -0.9570  12.4590   4.6573  12.4775   0.0975   0.9864   0.9864   0.1730   0.0000  -0.1023  -0.3526    0.354
    15  22.4974   2.9170  -0.9395  12.3826   3.6189  13.0789   0.4972   1.2918   1.0280   0.2518   0.0000  -0.1243  -0.3372    0.371
    16  22.6846   3.2159  -0.9028  12.2227   3.7885  12.9913   0.4821   1.3111   1.0433   0.2031   0.0000  -0.1289  -0.3426    0.374
    17  22.8826   3.5322  -0.8639  12.0536   3.9437  12.9292   0.4725   1.3260   1.0552   0.1923   0.0000  -0.1276  -0.3437    0.371
    18  23.0912   3.8653  -0.8230  11.8754   4.0839  12.6918   0.4704   1.3241   1.0536   0.1784   0.0000  -0.1186  -0.3353    0.363
    19  23.3498   4.2783  -0.7723  11.6545   5.7066  11.9751   0.0612   1.2888   1.0256   0.0999   0.0000  -0.0900  -0.3022    0.338
    20  23.6607   4.7750  -0.7113  11.3888   5.8186  11.6046   0.0656   1.2796   1.0182   0.0924   0.0000  -0.0756  -0.2883    0.324
    21  23.9847   5.2923  -0.6478  11.1120   5.9047  11.3263   0.0693   1.2815   1.0198   0.0856   0.0000  -0.0655  -0.2799    0.314
    22  24.3210   5.8296  -0.5818  10.8247   5.9646  11.0912   0.0718   1.2897   1.0263   0.0793   0.0000  -0.0577  -0.2746    0.306
    23  24.6694   6.3859  -0.5135  10.5270   5.9985  10.8796   0.0728   1.3023   1.0363   0.0734   0.0000  -0.0515  -0.2713    0.300
    24  25.0291   6.9605  -0.4430  10.2197   6.0065  10.6814   0.0722   1.3185   1.0492   0.0679   0.0000  -0.0465  -0.2697    0.294
    25  25.3998   7.5524  -0.3703   9.9031   5.9889  10.4904   0.0697   1.3377   1.0645   0.0626   0.0000  -0.0425  -0.2695    0.290
    26  25.7806   8.1608  -0.2956   9.5777   5.9462  10.3026   0.0650   1.3598   1.0820   0.0575   0.0000  -0.0393  -0.2705    0.286
    27  26.1712   8.7846  -0.2190   9.2440   5.8788  10.1159   0.0578   1.3847   1.1018   0.0524   0.0000  -0.0370  -0.2726    0.284
    28  26.5709   9.4230  -0.1406   8.9025   5.7875   9.9269   0.0468   1.4122   1.1237   0.0476   0.0000  -0.0354  -0.2759    0.281
    29  26.9647  10.0557  -0.0738   8.6530   5.3824   9.7279   0.0376   1.4944   1.1341   0.0429   0.0000  -0.0292  -0.2707    0.276
    30  27.3514  10.6811  -0.0191   8.4988   5.3831   9.5950   0.0380   1.5018   1.1396   0.0386   0.0000  -0.0259  -0.2689    0.273
    31  27.7448  11.3174   0.0366   8.3420   5.3704   9.4630   0.0378   1.5099   1.1458   0.0346   0.0000  -0.0232  -0.2679    0.270
    32  28.1443  11.9635   0.0931   8.1827   5.3448   9.3317   0.0381   1.5189   1.1526   0.0308   0.0000  -0.0211  -0.2674    0.268
    33  28.5492  12.6185   0.1504   8.0213   5.3066   9.1994   0.0389   1.5284   1.1598   0.0273   0.0000  -0.0194  -0.2674    0.267
    34  28.9591  13.2814   0.2084   7.8579   5.2564   9.0650   0.0400   1.5381   1.1672   0.0241   0.0000  -0.0182  -0.2678    0.266
    35  29.3731  13.9510   0.2670   7.6928   5.1948   8.9279   0.0411   1.5481   1.1748   0.0210   0.0000  -0.0172  -0.2685    0.265
    36  29.7907  14.6265   0.3261   7.5263   5.1222   8.7877   0.0422   1.5582   1.1825   0.0181   0.0000  -0.0164  -0.2694    0.264
    37  30.2113  15.3067   0.3856   7.3587   5.0393   8.6440   0.0431   1.5684   1.1902   0.0154   0.0000  -0.0159  -0.2705    0.263
    38  30.6342  15.9907   0.4454   7.1901   4.9468   8.4967   0.0437   1.5784   1.1978   0.0127   0.0000  -0.0155  -0.2718    0.263
    39  31.0587  16.6772   0.5055   7.0209   4.8453   8.3456   0.0442   1.5883   1.2053   0.0103   0.0000  -0.0153  -0.2731    0.263
    40  31.4842  17.3654   0.5657   6.8512   4.7356   8.1906   0.0444   1.5980   1.2126   0.0079   0.0000  -0.0153  -0.2746    0.263
    41  31.9100  18.0541   0.6259   6.6815   4.6182   8.0319   0.0443   1.6073   1.2197   0.0057   0.0000  -0.0155  -0.2762    0.263
    42  32.3355  18.7423   0.6861   6.5119   4.4941   7.8696   0.0441   1.6164   1.2266   0.0037   0.0000  -0.0160  -0.2780    0.263
    43  32.7600  19.4289   0.7462   6.3426   4.3638   7.7041   0.0436   1.6250   1.2331   0.0019   0.0000  -0.0169  -0.2801    0.264
    44  33.1829  20.1128   0.8060   6.1740   4.2281   7.5358   0.0430   1.6332   1.2394   0.0007   0.0000  -0.0184  -0.2827    0.265
    45  33.6034  20.7930   0.8655   6.0064   4.0877   7.3654   0.0424   1.6409   1.2452   0.0005   0.0000  -0.0210  -0.2861    0.267
    46  34.0211  21.4685   0.9246   5.8399   3.9435   7.1939   0.0417   1.6478   1.2504   0.0029   0.0000  -0.0252  -0.2909    0.270
    47  34.4351  22.1382   0.9832   5.6748   3.7961   7.0226   0.0411   1.6525   1.2540   0.0150   0.0000  -0.0328  -0.2985    0.276
    48  34.7955  22.7210   1.0342   5.5312   2.7734   6.8664   0.0407   1.6761   1.2720  -0.0640   0.0000  -0.0541  -0.3174    0.293
    49  35.1476  23.2905   1.0840   5.3908   3.4568   6.7118   0.0405   1.6748   1.2709  -0.0371   0.0000  -0.0611  -0.3240    0.298
    50  35.5398  23.9248   1.1395   5.2344   3.3083   6.5438   0.0405   1.6797   1.2747  -0.0289   0.0000  -0.0641  -0.3277    0.300
    51  35.9260  24.5495   1.1942   5.0805   3.1592   6.3751   0.0407   1.6853   1.2789  -0.0261   0.0000  -0.0655  -0.3300    0.301
    52  36.3056  25.1635   1.2479   4.9291   3.0101   6.2066   0.0410   1.6909   1.2832  -0.0253   0.0000  -0.0662  -0.3315    0.302
    53  36.6781  25.7659   1.3006   4.7806   2.8615   6.0384   0.0416   1.6962   1.2872  -0.0255   0.0000  -0.0664  -0.3325    0.302
    54  37.0428  26.3559   1.3522   4.6352   2.7141   5.8706   0.0424   1.7010   1.2908  -0.0261   0.0000  -0.0663  -0.3331    0.301
    55  37.3992  26.9323   1.4027   4.4931   2.5684   5.7030   0.0435   1.7048   1.2938  -0.0271   0.0000  -0.0659  -0.3334    0.301
    56  37.7468  27.4945   1.4518   4.3545   2.4247   5.5354   0.0450   1.7077   1.2959  -0.0281   0.0000  -0.0653  -0.3333    0.300
    57  38.0850  28.0415   1.4997   4.2197   2.2835   5.3676   0.0467   1.7091   1.2970  -0.0293   0.0000  -0.0645  -0.3329    0.300
    58  38.4133  28.5725   1.5461   4.0888   2.1452   5.1992   0.0488   1.7087   1.2967  -0.0305   0.0000  -0.0635  -0.3319    0.299
    59  38.7312  29.0866   1.5911   3.9621   2.0101   5.0297   0.0513   1.7062   1.2948  -0.0318   0.0000  -0.0621  -0.3303    0.298
    60  39.0382  29.5831   1.6346   3.8397   1.8786   4.8583   0.0542   1.7009   1.2908  -0.0330   0.0000  -0.0605  -0.3280    0.297
    61  39.3338  30.0612   1.6764   3.7219   1.7508   4.6843   0.0575   1.6922   1.2842  -0.0343   0.0000  -0.0585  -0.3249    0.296
    62  39.6175  30.5202   1.7165   3.6087   1.6269   4.5066   0.0611   1.6794   1.2744  -0.0354   0.0000  -0.0561  -0.3207    0.294
    63  39.8890  30.9593   1.7550   3.5005   1.5072   4.3241   0.0649   1.6616   1.2609  -0.0365   0.0000  -0.0534  -0.3154    0.292
    64  40.1478  31.3779   1.7916   3.3973   1.3917   4.1357   0.0687   1.6378   1.2429  -0.0374   0.0000  -0.0502  -0.3089    0.290
    65  40.3935  31.7753   1.8263   3.2994   1.2804   3.9403   0.0721   1.6070   1.2195  -0.0380   0.0000  -0.0470  -0.3011    0.289
    66  40.6258  32.1509   1.8592   3.2068   1.1734   3.7370   0.0749   1.5683   1.1901  -0.0380   0.0000  -0.0440  -0.2922    0.287
    67  40.8442  32.5042   1.8901   3.1197   1.0707   3.5252   0.0768   1.5208   1.1541  -0.0369   0.0000  -0.0420  -0.2828    0.286
    68  41.0485  32.8346   1.9190   3.0383   0.9721   3.3048   0.0772   1.4635   1.1106  -0.0337   0.0000  -0.0421  -0.2736    0.288
    69  41.2438  33.1504   1.9467   2.9604   0.9286   3.0723   0.0759   1.3951   1.0587  -0.0270   0.0000  -0.0460  -0.2660    0.293
