 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  490.60       Cref =  8.4083       Bref =  70.000    
  Xref =  29.948       Yref =  0.0000       Zref =-0.24644    

  Surface # 1     main_wing                               
     # Chordwise = 10   # Spanwise = 80     First strip =  1
     Surface area Ssurf =  250.220919     Ave. chord Cave =    7.118898

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.00398     Clsurf  =   0.00508
     CYsurf  =  -0.00025     Cmsurf  =  -0.00510
     CDsurf  =   0.00112     Cnsurf  =  -0.00017
     CDisurf =   0.00112     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.00781     CDsurf  =   0.00219

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1  22.4080   0.0036  -0.9570  12.4590   0.1808   1.1169  -0.0815   0.0896   0.0896  -0.0025   0.0000  -0.0648  -0.0872    0.973
     2  22.4080   0.0327  -0.9570  12.4590   0.5422   1.1169  -0.0815   0.0896   0.0896  -0.0025   0.0000  -0.0648  -0.0872    0.973
     3  22.4080   0.0907  -0.9570  12.4590   0.9028   1.1173  -0.0815   0.0896   0.0896  -0.0024   0.0000  -0.0648  -0.0872    0.973
     4  22.4080   0.1775  -0.9570  12.4590   1.2619   1.1187  -0.0816   0.0898   0.0898  -0.0024   0.0000  -0.0649  -0.0873    0.973
     5  22.4080   0.2932  -0.9570  12.4590   1.6191   1.1220  -0.0819   0.0900   0.0900  -0.0023   0.0000  -0.0650  -0.0876    0.973
     6  22.4080   0.4374  -0.9570  12.4590   1.9739   1.1285  -0.0824   0.0906   0.0906  -0.0023   0.0000  -0.0653  -0.0880    0.972
     7  22.4080   0.6100  -0.9570  12.4590   2.3255   1.1397  -0.0833   0.0915   0.0915  -0.0022   0.0000  -0.0658  -0.0887    0.970
     8  22.4080   0.8106  -0.9570  12.4590   2.6736   1.1580  -0.0845   0.0929   0.0929  -0.0022   0.0000  -0.0666  -0.0899    0.967
     9  22.4080   1.0391  -0.9570  12.4590   3.0176   1.1860  -0.0859   0.0952   0.0952  -0.0021   0.0000  -0.0678  -0.0916    0.962
    10  22.4080   1.2949  -0.9570  12.4590   3.3569   1.2277  -0.0871   0.0985   0.0985  -0.0021   0.0000  -0.0695  -0.0941    0.955
    11  22.4080   1.5778  -0.9570  12.4590   3.6910   1.2892  -0.0869   0.1035   0.1035  -0.0020   0.0000  -0.0720  -0.0979    0.946
    12  22.4080   1.8873  -0.9570  12.4590   4.0195   1.3805  -0.0839   0.1108   0.1108  -0.0019   0.0000  -0.0756  -0.1033    0.932
    13  22.4080   2.2230  -0.9570  12.4590   4.3417   1.5222  -0.0770   0.1222   0.1222  -0.0014   0.0000  -0.0810  -0.1116    0.913
    14  22.4080   2.5842  -0.9570  12.4590   4.6573   1.7805  -0.0649   0.1431   0.1431   0.0026   0.0000  -0.0908  -0.1265    0.884
    15  22.4974   2.9170  -0.9395  12.3826   3.6189   2.3531   0.3681   0.2370   0.1920   0.0545   0.0000  -0.1132  -0.1364    0.839
    16  22.6846   3.2159  -0.9028  12.2227   3.7885   2.4991   0.3830   0.2546   0.2063   0.0489   0.0000  -0.1201  -0.1453    0.832
    17  22.8826   3.5322  -0.8639  12.0536   3.9437   2.4903   0.3933   0.2570   0.2083   0.0444   0.0000  -0.1208  -0.1464    0.830
    18  23.0912   3.8653  -0.8230  11.8754   4.0839   2.2825   0.3976   0.2389   0.1936   0.0369   0.0000  -0.1134  -0.1370    0.836
    19  23.3498   4.2783  -0.7723  11.6545   5.7066   1.5784  -0.0262   0.1670   0.1353  -0.0057   0.0000  -0.0855  -0.1013    0.882
    20  23.6607   4.7750  -0.7113  11.3888   5.8186   1.2437  -0.0276   0.1347   0.1091  -0.0036   0.0000  -0.0724  -0.0847    0.914
    21  23.9847   5.2923  -0.6478  11.1120   5.9047   1.0107  -0.0285   0.1122   0.0909  -0.0026   0.0000  -0.0634  -0.0732    0.947
    22  24.3210   5.8296  -0.5818  10.8247   5.9646   0.8294  -0.0287   0.0945   0.0766  -0.0021   0.0000  -0.0565  -0.0642    0.987
    23  24.6694   6.3859  -0.5135  10.5270   5.9985   0.6802  -0.0280   0.0797   0.0646  -0.0017   0.0000  -0.0508  -0.0569    1.037
    24  25.0291   6.9605  -0.4430  10.2197   6.0065   0.5534  -0.0266   0.0668   0.0541  -0.0015   0.0000  -0.0461  -0.0507    1.102
    25  25.3998   7.5524  -0.3703   9.9031   5.9889   0.4432  -0.0244   0.0552   0.0447  -0.0013   0.0000  -0.0421  -0.0453    1.191
    26  25.7806   8.1608  -0.2956   9.5777   5.9462   0.3459  -0.0216   0.0446   0.0361  -0.0011   0.0000  -0.0386  -0.0405    1.320
    27  26.1712   8.7846  -0.2190   9.2440   5.8788   0.2588  -0.0183   0.0345   0.0280  -0.0010   0.0000  -0.0357  -0.0363    1.524
    28  26.5709   9.4230  -0.1406   8.9025   5.7875   0.1798  -0.0154   0.0249   0.0202  -0.0008   0.0000  -0.0330  -0.0324    1.887
    29  26.9647  10.0557  -0.0738   8.6530   5.3824   0.1115  -0.0120   0.0168   0.0129  -0.0007   0.0000  -0.0305  -0.0287  999.000
    30  27.3514  10.6811  -0.0191   8.4988   5.3831   0.0559  -0.0076   0.0086   0.0066  -0.0005   0.0000  -0.0284  -0.0256  999.000
    31  27.7448  11.3174   0.0366   8.3420   5.3704   0.0055  -0.0049   0.0008   0.0006  -0.0004   0.0000  -0.0267  -0.0229  999.000
    32  28.1443  11.9635   0.0931   8.1827   5.3448  -0.0412  -0.0034  -0.0066  -0.0051  -0.0003   0.0000  -0.0253  -0.0205  999.000
    33  28.5492  12.6185   0.1504   8.0213   5.3066  -0.0848  -0.0028  -0.0138  -0.0106  -0.0002   0.0000  -0.0243  -0.0185  999.000
    34  28.9591  13.2814   0.2084   7.8579   5.2564  -0.1258  -0.0027  -0.0209  -0.0160  -0.0001   0.0000  -0.0235  -0.0166  999.000
    35  29.3731  13.9510   0.2670   7.6928   5.1948  -0.1646  -0.0029  -0.0279  -0.0214   0.0000   0.0000  -0.0229  -0.0150   -0.819
    36  29.7907  14.6265   0.3261   7.5263   5.1222  -0.2015  -0.0033  -0.0349  -0.0268   0.0001   0.0000  -0.0225  -0.0135   -0.590
    37  30.2113  15.3067   0.3856   7.3587   5.0393  -0.2368  -0.0039  -0.0419  -0.0322   0.0002   0.0000  -0.0223  -0.0122   -0.443
    38  30.6342  15.9907   0.4454   7.1901   4.9468  -0.2706  -0.0045  -0.0491  -0.0377   0.0003   0.0000  -0.0223  -0.0111   -0.343
    39  31.0587  16.6772   0.5055   7.0209   4.8453  -0.3031  -0.0053  -0.0563  -0.0432   0.0004   0.0000  -0.0226  -0.0101   -0.273
    40  31.4842  17.3654   0.5657   6.8512   4.7356  -0.3343  -0.0061  -0.0636  -0.0488   0.0005   0.0000  -0.0231  -0.0094   -0.223
    41  31.9100  18.0541   0.6259   6.6815   4.6182  -0.3640  -0.0069  -0.0710  -0.0545   0.0006   0.0000  -0.0239  -0.0089   -0.189
    42  32.3355  18.7423   0.6861   6.5119   4.4941  -0.3921  -0.0077  -0.0785  -0.0602   0.0007   0.0000  -0.0253  -0.0088   -0.169
    43  32.7600  19.4289   0.7462   6.3426   4.3638  -0.4184  -0.0086  -0.0860  -0.0660   0.0007   0.0000  -0.0272  -0.0092   -0.162
    44  33.1829  20.1128   0.8060   6.1740   4.2281  -0.4426  -0.0094  -0.0934  -0.0717   0.0008   0.0000  -0.0300  -0.0104   -0.168
    45  33.6034  20.7930   0.8655   6.0064   4.0877  -0.4646  -0.0102  -0.1008  -0.0774   0.0008   0.0000  -0.0340  -0.0127   -0.190
    46  34.0211  21.4685   0.9246   5.8399   3.9435  -0.4842  -0.0110  -0.1081  -0.0829   0.0008   0.0000  -0.0401  -0.0166   -0.233
    47  34.4351  22.1382   0.9832   5.6748   3.7961  -0.5011  -0.0117  -0.1151  -0.0884   0.0000   0.0000  -0.0500  -0.0239   -0.316
    48  34.7955  22.7210   1.0342   5.5312   2.7734  -0.5138  -0.0123  -0.1195  -0.0917   0.0366   0.0000  -0.0743  -0.0437   -0.560
    49  35.1476  23.2905   1.0840   5.3908   3.4568  -0.5242  -0.0126  -0.1262  -0.0968   0.0136   0.0000  -0.0832  -0.0504   -0.609
    50  35.5398  23.9248   1.1395   5.2344   3.3083  -0.5328  -0.0129  -0.1325  -0.1017   0.0047   0.0000  -0.0874  -0.0530   -0.610
    51  35.9260  24.5495   1.1942   5.0805   3.1592  -0.5389  -0.0133  -0.1383  -0.1061   0.0012   0.0000  -0.0898  -0.0542   -0.596
    52  36.3056  25.1635   1.2479   4.9291   3.0101  -0.5425  -0.0136  -0.1435  -0.1102  -0.0005   0.0000  -0.0913  -0.0546   -0.579
    53  36.6781  25.7659   1.3006   4.7806   2.8615  -0.5437  -0.0139  -0.1483  -0.1138  -0.0014   0.0000  -0.0924  -0.0548   -0.562
    54  37.0428  26.3559   1.3522   4.6352   2.7141  -0.5425  -0.0141  -0.1527  -0.1172  -0.0019   0.0000  -0.0933  -0.0548   -0.546
    55  37.3992  26.9323   1.4027   4.4931   2.5684  -0.5389  -0.0144  -0.1565  -0.1201  -0.0023   0.0000  -0.0940  -0.0548   -0.533
    56  37.7468  27.4945   1.4518   4.3545   2.4247  -0.5329  -0.0146  -0.1597  -0.1225  -0.0026   0.0000  -0.0946  -0.0548   -0.522
    57  38.0850  28.0415   1.4997   4.2197   2.2835  -0.5245  -0.0148  -0.1622  -0.1245  -0.0028   0.0000  -0.0952  -0.0549   -0.515
    58  38.4133  28.5725   1.5461   4.0888   2.1452  -0.5137  -0.0150  -0.1639  -0.1258  -0.0031   0.0000  -0.0959  -0.0552   -0.512
    59  38.7312  29.0866   1.5911   3.9621   2.0101  -0.5003  -0.0151  -0.1648  -0.1265  -0.0033   0.0000  -0.0965  -0.0556   -0.513
    60  39.0382  29.5831   1.6346   3.8397   1.8786  -0.4844  -0.0150  -0.1647  -0.1264  -0.0035   0.0000  -0.0972  -0.0562   -0.519
    61  39.3338  30.0612   1.6764   3.7219   1.7508  -0.4661  -0.0148  -0.1634  -0.1254  -0.0038   0.0000  -0.0978  -0.0569   -0.530
    62  39.6175  30.5202   1.7165   3.6087   1.6269  -0.4454  -0.0143  -0.1611  -0.1236  -0.0041   0.0000  -0.0982  -0.0577   -0.545
    63  39.8890  30.9593   1.7550   3.5005   1.5072  -0.4225  -0.0137  -0.1576  -0.1209  -0.0045   0.0000  -0.0984  -0.0584   -0.564
    64  40.1478  31.3779   1.7916   3.3973   1.3917  -0.3979  -0.0128  -0.1529  -0.1174  -0.0050   0.0000  -0.0981  -0.0589   -0.585
    65  40.3935  31.7753   1.8263   3.2994   1.2804  -0.3720  -0.0118  -0.1473  -0.1130  -0.0056   0.0000  -0.0969  -0.0588   -0.608
    66  40.6258  32.1509   1.8592   3.2068   1.1734  -0.3452  -0.0106  -0.1407  -0.1079  -0.0066   0.0000  -0.0947  -0.0580   -0.627
