 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  490.60       Cref =  8.4083       Bref =  70.000    
  Xref =  0.0000       Yref =  0.0000       Zref =  0.0000    

  Surface # 1     main_wing                               
     # Chordwise = 10   # Spanwise = 70     First strip =  1
     Surface area Ssurf =  250.220834     Ave. chord Cave =    7.118896

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.24587     Clsurf  =  -0.04528
     CYsurf  =  -0.01924     Cmsurf  =  -0.94387
     CDsurf  =   0.00508     Cnsurf  =   0.00699
     CDisurf =   0.00508     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.48353     CDsurf  =   0.00996

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1  22.4080   0.0042  -0.9570  12.4590   0.2104   5.7337  -0.0103   0.4598   0.4598   0.0195   0.0000  -0.0880  -0.2031    0.441
     2  22.4080   0.0380  -0.9570  12.4590   0.6307   5.7338  -0.0103   0.4598   0.4598   0.0194   0.0000  -0.0880  -0.2031    0.441
     3  22.4080   0.1054  -0.9570  12.4590   1.0498   5.7344  -0.0104   0.4599   0.4599   0.0193   0.0000  -0.0880  -0.2031    0.441
     4  22.4080   0.2065  -0.9570  12.4590   1.4668   5.7365  -0.0105   0.4600   0.4600   0.0191   0.0000  -0.0882  -0.2033    0.442
     5  22.4080   0.3408  -0.9570  12.4590   1.8808   5.7414  -0.0107   0.4604   0.4604   0.0190   0.0000  -0.0884  -0.2037    0.442
     6  22.4080   0.5083  -0.9570  12.4590   2.2910   5.7511  -0.0111   0.4612   0.4612   0.0189   0.0000  -0.0890  -0.2044    0.443
     7  22.4080   0.7085  -0.9570  12.4590   2.6966   5.7681  -0.0118   0.4626   0.4626   0.0188   0.0000  -0.0899  -0.2056    0.444
     8  22.4080   0.9411  -0.9570  12.4590   3.0968   5.7958  -0.0128   0.4648   0.4648   0.0188   0.0000  -0.0914  -0.2077    0.447
     9  22.4080   1.2055  -0.9570  12.4590   3.4907   5.8392  -0.0139   0.4683   0.4683   0.0189   0.0000  -0.0936  -0.2107    0.450
    10  22.4080   1.5013  -0.9570  12.4590   3.8776   5.9055  -0.0150   0.4736   0.4736   0.0192   0.0000  -0.0969  -0.2154    0.455
    11  22.4080   1.8278  -0.9570  12.4590   4.2567   6.0081  -0.0153   0.4818   0.4818   0.0200   0.0000  -0.1017  -0.2223    0.461
    12  22.4080   2.1844  -0.9570  12.4590   4.6273   6.1758  -0.0144   0.4952   0.4952   0.0223   0.0000  -0.1092  -0.2331    0.470
    13  22.4080   2.5704  -0.9570  12.4590   4.9885   6.5272  -0.0116   0.5229   0.5229   0.0380   0.0000  -0.1228  -0.2538    0.485
