Output file with mission profile breakdown

         FLIGHT PHASE           |   ALTITUDE    |     WEIGHT      |  DIST.  | TIME  |            SPEED              |  FUEL  |
                                | From  |   To  |Initial | Final  |         |       |Initial| Final |Initial| Final |        |
                                |   m   |   m   |   kg   |   kg   |    km   |  min  | m/s   | m/s   |  Mach |  Mach |   kg   |
                                |       |       |        |        |         |       |       |       |       |       |        |
climb_1                         |      0|   1524|  283168|  281945|       48|    6.4|  125.0|  116.4|  0.367|  0.374| 1222.34|
climb_2                         |   1524|   4572|  281945|  279847|      145|   12.7|  177.5|  153.4|  0.568|  0.590| 2098.44|
climb_3                         |   4572|   9449|  279847|  274502|      551|   40.6|  183.8|  142.4|  0.701|  0.749| 5345.30|
cruise_1                        |   9449|   9449|  274502|  233431|     6105|  411.1|  157.3|  157.3|  0.820|  0.820|41071.03|
cruise_2                        |   9449|   9449|  233431|  196471|     6105|  411.1|  157.3|  157.3|  0.820|  0.820|36960.00|
cruise_3                        |   9449|   9449|  196471|  162650|     6105|  411.1|  157.3|  157.3|  0.820|  0.820|33820.84|
descent_1                       |   9449|   6706|  162650|  162191|      134|   10.2|  138.3|  160.5|  0.729|  0.702|  458.95|
descent_2                       |   6706|   4572|  162191|  161918|       83|    7.1|  141.3|  157.6|  0.622|  0.605|  272.69|
descent_3                       |   4572|   3048|  161918|  161769|       52|    5.1|  136.8|  147.6|  0.527|  0.518|  149.66|
descent_4                       |   3048|   1524|  161769|  161665|       46|    5.1|  129.9|  139.8|  0.457|  0.449|  103.62|
descent_5                       |   1524|      0|  161665|  161312|       74|    8.5|  135.1|  145.0|  0.434|  0.426|  352.57|
reserve_climb_1                 |      0|    457|  161312|  161312|        0|    0.0|  160.0|  160.0|  0.470|  0.470|    0.62|
reserve_climb_2                 |    457|   1219|  161312|  161165|        4|    0.4|  166.6|  160.9|  0.502|  0.507|  146.40|
reserve_climb_3                 |   1219|   2134|  161165|  160998|        5|    0.5|  170.4|  163.3|  0.536|  0.542|  166.95|
reserve_climb_4                 |   2134|   2743|  160998|  160892|        3|    0.3|  172.6|  167.7|  0.572|  0.576|  106.13|
reserve_climb_5                 |   2743|   3353|  160892|  160762|        3|    0.4|  123.0|  119.3|  0.425|  0.428|  130.69|
reserve_cruise                  |   3353|   3353|  160762|  158888|      242|   18.9|  182.9|  182.9|  0.650|  0.650| 1873.68|
reserve_descent_3               |   3353|   2743|  158888|  158812|       23|    2.6|  128.0|  131.9|  0.458|  0.455|   75.68|
reserve_descent_4               |   2743|   2134|  158812|  158733|       24|    2.7|  127.4|  131.2|  0.440|  0.437|   78.73|
reserve_descent_5               |   2134|   1219|  158733|  158611|       35|    4.2|  126.7|  132.3|  0.422|  0.417|  122.07|
reserve_descent_6               |   1219|    457|  158611|  158497|       31|    3.9|  122.8|  127.3|  0.387|  0.384|  114.64|
hold                            |    457|    457|  158497|  156242|      270|   30.0|  146.9|  146.9|  0.443|  0.443| 2254.29|


 Total Range         (km) ...........     20086
 Total Main Fuel          (kg) ........... [126925.31811273]
 Total Time  (hh:mm) ........     23:12


-------------------------------------------
 Friday, 17. November 2023 01:59:14 AM
