#   CL      CD      e  
-0.04326000 0.00117040 0.07410000
-0.04345000 0.00117940 0.07420000
-0.04384000 0.00119830 0.07430000
-0.04531000 0.00127300 0.07470000
-0.04804000 0.00142850 0.07470000
-0.05287000 0.00179680 0.07210000
0.15500000 0.00211710 0.53000000
0.15605000 0.00213840 0.53220000
0.15823000 0.00218300 0.53670000
0.16677000 0.00236120 0.55400000
0.18421000 0.00274250 0.58680000
0.22417000 0.00371120 0.64780000
0.35316000 0.00629220 0.78720000
0.35545000 0.00636380 0.78920000
0.36020000 0.00651320 0.79330000
0.37875000 0.00711180 0.80870000
0.41637000 0.00839920 0.83660000
0.50119000 0.01168140 0.88480000
0.64893000 0.01856700 0.84190000
0.65307000 0.01878470 0.84370000
0.66165000 0.01923870 0.84720000
0.69512000 0.02105940 0.86060000
0.76281000 0.02497510 0.88460000
0.91451000 0.03493150 0.92580000
0.84430000 0.03066660 0.84910000
0.84966000 0.03102770 0.85080000
0.86075000 0.03178100 0.85420000
0.90405000 0.03480210 0.86700000
0.99152000 0.04129890 0.89000000
1.18720000 0.05780110 0.92950000
1.13323000 0.05441360 0.85200000
1.14038000 0.05505590 0.85370000
1.15517000 0.05639590 0.85700000
1.21290000 0.06177010 0.86930000
1.32941000 0.07332670 0.89150000
1.58957000 0.10265980 0.92960000
