#   CL      CD      e  
-0.04253000 0.00116900 0.07200000
-0.04271000 0.00117810 0.07210000
-0.04310000 0.00119710 0.07220000
-0.04453000 0.00127220 0.07250000
-0.04717000 0.00142910 0.07250000
-0.05182000 0.00180300 0.06970000
0.15573000 0.00212250 0.53420000
0.15679000 0.00214400 0.53640000
0.15898000 0.00218890 0.54100000
0.16755000 0.00236850 0.55830000
0.18508000 0.00275330 0.59100000
0.22523000 0.00373320 0.65150000
0.35389000 0.00630450 0.78900000
0.35619000 0.00637640 0.79100000
0.36094000 0.00652630 0.79510000
0.37954000 0.00712730 0.81040000
0.41724000 0.00842010 0.83820000
0.50225000 0.01171920 0.88610000
0.64966000 0.01858950 0.84280000
0.65381000 0.01880760 0.84450000
0.66239000 0.01926250 0.84810000
0.69591000 0.02108690 0.86140000
0.76368000 0.02501120 0.88540000
0.91557000 0.03499290 0.92640000
0.84503000 0.03069580 0.84970000
0.85039000 0.03105740 0.85140000
0.86150000 0.03181190 0.85480000
0.90483000 0.03483760 0.86760000
0.99238000 0.04134510 0.89050000
1.18825000 0.05787800 0.92990000
1.13395000 0.05445250 0.85250000
1.14111000 0.05509550 0.85410000
1.15591000 0.05643690 0.85740000
1.21368000 0.06181700 0.86970000
1.33027000 0.07338720 0.89190000
1.59061000 0.10275910 0.92990000
