#    CM       Cm_alpha       Cn_beta       NP 
0.19982000 -2.96557500 0.18673700 0.18673700
0.20118000 -2.98450200 0.18770200 0.18770200
0.20399000 -3.02350300 0.18967900 0.18967900
0.21484000 -3.17367900 0.19715800 0.19715800
0.23624000 -3.46725300 0.21117200 0.21117200
0.28158000 -4.07982700 0.23792600 0.23792600
0.09578000 -2.99312300 0.19034600 0.19034600
0.09648000 -3.01224400 0.19134200 0.19134200
0.09791000 -3.05164400 0.19338300 0.19338300
0.10349000 -3.20339300 0.20111000 0.20111000
0.11458000 -3.50021200 0.21561700 0.21561700
0.13840000 -4.12051400 0.24344000 0.24344000
-0.00897000 -3.00609000 0.19516600 0.19516600
-0.00894000 -3.02531000 0.19620200 0.19620200
-0.00888000 -3.06491800 0.19832700 0.19832700
-0.00862000 -3.21750000 0.20637900 0.20637900
-0.00792000 -3.51611800 0.22153600 0.22153600
-0.00585000 -4.14112700 0.25078900 0.25078900
-0.16630000 -2.99807900 0.20461600 0.20461600
-0.16728000 -3.01727300 0.20573000 0.20573000
-0.16930000 -3.05683100 0.20801500 0.20801500
-0.17703000 -3.20926900 0.21669400 0.21669400
-0.19198000 -3.50785700 0.23311400 0.23311400
-0.22270000 -4.13421300 0.26516900 0.26516900
-0.27058000 -2.97447000 0.21235000 0.21235000
-0.27223000 -2.99352900 0.21352700 0.21352700
-0.27562000 -3.03281300 0.21594200 0.21594200
-0.28866000 -3.18422600 0.22512900 0.22512900
-0.31401000 -3.48097500 0.24257800 0.24257800
-0.36655000 -4.10441400 0.27692600 0.27692600
-0.42483000 -2.91194000 0.22601000 0.22601000
-0.42747000 -2.93062400 0.22729600 0.22729600
-0.43290000 -2.96913800 0.22994000 0.22994000
-0.45379000 -3.11763300 0.24001900 0.24001900
-0.49455000 -3.40891800 0.25927500 0.25927500
-0.57950000 -4.02229500 0.29767500 0.29767500
