#    CM       Cm_alpha       Cn_beta       NP 
0.19898000 -2.96566600 0.18666000 0.18666000
0.20033000 -2.98459200 0.18762400 0.18762400
0.20314000 -3.02359100 0.18960100 0.18960100
0.21399000 -3.17375800 0.19707900 0.19707900
0.23542000 -3.46731200 0.21109100 0.21109100
0.28092000 -4.07983300 0.23784100 0.23784100
0.09493000 -2.99315500 0.19029400 0.19029400
0.09563000 -3.01227400 0.19129000 0.19129000
0.09706000 -3.05167300 0.19333100 0.19333100
0.10264000 -3.20341300 0.20105800 0.20105800
0.11376000 -3.50021300 0.21556600 0.21556600
0.13773000 -4.12047400 0.24339300 0.24339300
-0.00982000 -3.00606200 0.19514000 0.19514000
-0.00979000 -3.02528100 0.19617600 0.19617600
-0.00973000 -3.06488700 0.19830100 0.19830100
-0.00947000 -3.21746100 0.20635500 0.20635500
-0.00875000 -3.51606200 0.22151600 0.22151600
-0.00651000 -4.14104000 0.25077800 0.25077800
-0.16714000 -2.99796300 0.20462800 0.20462800
-0.16813000 -3.01715600 0.20574200 0.20574200
-0.17014000 -3.05671100 0.20802800 0.20802800
-0.17787000 -3.20914100 0.21671100 0.21671100
-0.19280000 -3.50771500 0.23314000 0.23314000
-0.22335000 -4.13405700 0.26521500 0.26521500
-0.27142000 -2.97429500 0.21238800 0.21238800
-0.27307000 -2.99335300 0.21356500 0.21356500
-0.27647000 -3.03263500 0.21598200 0.21598200
-0.28950000 -3.18404000 0.22517500 0.22517500
-0.31482000 -3.48077600 0.24263500 0.24263500
-0.36720000 -4.10421300 0.27701000 0.27701000
-0.42566000 -2.91167900 0.22608500 0.22608500
-0.42830000 -2.93036200 0.22737300 0.22737300
-0.43373000 -2.96887400 0.23001800 0.23001800
-0.45462000 -3.11736100 0.24010500 0.24010500
-0.49535000 -3.40863600 0.25937800 0.25937800
-0.58014000 -4.02202900 0.29781300 0.29781300
