#    CM       Cm_alpha       Cn_beta       NP 
0.20003000 -2.96555200 0.18675600 0.18675600
0.20139000 -2.98448000 0.18772100 0.18772100
0.20420000 -3.02348100 0.18969800 0.18969800
0.21505000 -3.17365900 0.19717700 0.19717700
0.23644000 -3.46723900 0.21119100 0.21119100
0.28174000 -4.07982600 0.23794300 0.23794300
0.09599000 -2.99311500 0.19035800 0.19035800
0.09669000 -3.01223600 0.19135400 0.19135400
0.09813000 -3.05163700 0.19339500 0.19339500
0.10370000 -3.20338800 0.20112200 0.20112200
0.11479000 -3.50021200 0.21562800 0.21562800
0.13856000 -4.12052500 0.24344800 0.24344800
-0.00875000 -3.00609700 0.19517200 0.19517200
-0.00873000 -3.02531700 0.19620800 0.19620800
-0.00867000 -3.06492600 0.19833200 0.19833200
-0.00841000 -3.21751000 0.20638400 0.20638400
-0.00772000 -3.51613200 0.22153900 0.22153900
-0.00569000 -4.14114900 0.25078800 0.25078800
-0.16609000 -2.99810800 0.20461200 0.20461200
-0.16707000 -3.01730200 0.20572500 0.20572500
-0.16909000 -3.05686100 0.20801100 0.20801100
-0.17682000 -3.20930100 0.21668800 0.21668800
-0.19178000 -3.50789300 0.23310600 0.23310600
-0.22254000 -4.13425200 0.26515400 0.26515400
-0.27037000 -2.97451300 0.21234000 0.21234000
-0.27202000 -2.99357300 0.21351600 0.21351600
-0.27542000 -3.03285700 0.21593100 0.21593100
-0.28845000 -3.18427200 0.22511700 0.22511700
-0.31380000 -3.48102500 0.24256200 0.24256200
-0.36639000 -4.10446400 0.27690200 0.27690200
-0.42462000 -2.91200500 0.22599000 0.22599000
-0.42726000 -2.93068900 0.22727600 0.22727600
-0.43269000 -2.96920400 0.22991900 0.22991900
-0.45359000 -3.11770100 0.23999600 0.23999600
-0.49435000 -3.40898800 0.25924800 0.25924800
-0.57934000 -4.02236200 0.29763700 0.29763700
