Output file with mission profile breakdown

         FLIGHT PHASE           |   ALTITUDE    |     WEIGHT      |  DIST.  | TIME  |            SPEED              |  FUEL  |
                                | From  |   To  |Initial | Final  |         |       |Initial| Final |Initial| Final |        |
                                |   m   |   m   |   kg   |   kg   |    km   |  min  | m/s   | m/s   |  Mach |  Mach |   kg   |
                                |       |       |        |        |         |       |       |       |       |       |        |
climb_1                         |      0|   1524|  194457|  194167|       12|    1.6|  128.6|  119.7|  0.378|  0.385|  290.14|
climb_2                         |   1524|   3048|  194167|  193872|       15|    1.9|  119.7|  111.2|  0.385|  0.392|  295.50|
climb_3                         |   3048|   4572|  193872|  193587|       20|    2.1|  132.3|  122.6|  0.465|  0.474|  285.20|
climb_4                         |   4572|   6096|  193587|  193286|       27|    2.7|  133.3|  123.2|  0.514|  0.524|  300.73|
climb_5                         |   6096|   7315|  193286|  193024|       29|    2.7|  133.3|  124.9|  0.566|  0.575|  261.51|
climb_6                         |   7315|   8534|  193024|  192734|       40|    3.5|  134.4|  125.6|  0.617|  0.627|  290.12|
climb_7                         |   8534|   9144|  192734|  192569|       27|    2.2|  133.1|  128.6|  0.662|  0.667|  165.34|
climb_8                         |   9144|   9754|  192569|  192383|       34|    2.7|  133.8|  129.2|  0.692|  0.698|  186.23|
climb_9                         |   9754|  10363|  192383|  192168|       43|    3.3|  134.5|  129.9|  0.725|  0.731|  214.99|
climb_10                        |  10363|  10363|  192168|  192043|       27|    2.0|  134.0|  131.6|  0.753|  0.756|  124.77|
cruise_1                        |  10363|  10363|  192043|  178470|     3726|  254.2|  147.3|  147.3|  0.820|  0.820|13572.65|
step_climb_1                    |  10363|  10973|  178470|  178239|       52|    3.6|  146.5|  141.4|  0.816|  0.824|  231.62|
cruise_2                        |  10973|  10973|  178239|  165659|     3726|  256.5|  140.7|  140.7|  0.820|  0.820|12579.19|
step_climb_2                    |  10973|  11582|  165659|  165433|       55|    3.8|  140.6|  134.4|  0.819|  0.820|  226.16|
cruise_3                        |  11582|  11582|  165433|  153669|     3726|  256.7|  134.4|  134.4|  0.820|  0.820|11763.77|
step_climb_3                    |  11582|  12192|  153669|  153448|       59|    4.0|  134.4|  128.3|  0.820|  0.820|  221.44|
cruise_4                        |  12192|  12192|  153448|  142448|     3726|  256.7|  128.3|  128.3|  0.820|  0.820|10999.95|
step_climb_4                    |  12192|  12802|  142448|  142219|       66|    4.6|  128.3|  122.5|  0.820|  0.820|  228.72|
cruise_5                        |  12802|  12497|  142219|  131912|     3726|  256.7|  122.5|  122.5|  0.820|  0.820|10307.46|
descent_2                       |  12497|  11887|  131912|  131910|        8|    0.5|  132.4|  138.6|  0.860|  0.860|    1.81|
descent_3                       |  11887|  11278|  131910|  131906|       15|    1.1|  131.3|  137.5|  0.820|  0.820|    3.80|
descent_4                       |  11278|  10668|  131906|  131902|       16|    1.1|  130.5|  135.9|  0.782|  0.778|    4.34|
descent_5                       |  10668|  10058|  131902|  131897|       16|    1.2|  130.2|  134.9|  0.749|  0.742|    4.96|
descent_6                       |  10058|   9449|  131897|  131891|       16|    1.2|  129.5|  134.1|  0.715|  0.708|    5.70|
descent_7                       |   9449|   8839|  131891|  131885|       16|    1.3|  128.9|  133.4|  0.683|  0.677|    6.50|
descent_8                       |   8839|   8230|  131885|  131877|       16|    1.3|  128.3|  132.7|  0.653|  0.647|    7.44|
descent_9                       |   8230|   7315|  131877|  131864|       24|    2.1|  126.6|  133.1|  0.619|  0.611|   13.20|
descent_10                      |   7315|   6401|  131864|  131848|       24|    2.2|  126.0|  132.3|  0.580|  0.573|   15.76|
descent_11                      |   6401|   5486|  131848|  131830|       25|    2.4|  125.5|  131.6|  0.544|  0.538|   18.25|
descent_12                      |   5486|   4572|  131830|  131808|       25|    2.6|  125.0|  131.0|  0.512|  0.506|   21.96|
descent_13                      |   4572|   3658|  131808|  131781|       25|    2.7|  124.6|  130.5|  0.482|  0.476|   27.25|
descent_14                      |   3658|   3048|  131781|  131759|       17|    1.9|  125.3|  129.2|  0.458|  0.454|   21.89|
descent_15                      |   3048|   1829|  131759|  131696|       39|    5.1|  111.2|  118.0|  0.392|  0.386|   62.85|
descent_16                      |   1829|    914|  131696|  131651|       28|    3.7|  118.0|  123.3|  0.386|  0.382|   45.51|
reserve_climb_1                 |    914|   1829|  131651|  131540|        5|    0.6|  123.3|  118.0|  0.382|  0.386|  110.82|
reserve_climb_2                 |   1829|   3048|  131540|  131392|        7|    1.0|  118.0|  111.2|  0.386|  0.392|  148.01|
reserve_climb_3                 |   3048|   4572|  131392|  131215|       12|    1.3|  132.3|  122.6|  0.465|  0.474|  177.26|
reserve_climb_4                 |   4572|   6096|  131215|  131033|       16|    1.6|  133.3|  123.2|  0.514|  0.524|  181.42|
reserve_cruise                  |   6096|   6096|  131033|  130348|      166|   16.0|  128.6|  128.6|  0.547|  0.547|  685.18|
reserve_descent_1               |   6096|   5182|  130348|  130329|       25|    2.4|  125.3|  131.4|  0.533|  0.527|   19.23|
reserve_descent_2               |   5182|   4267|  130329|  130305|       25|    2.6|  124.9|  130.9|  0.501|  0.496|   23.34|
reserve_descent_3               |   4267|   3048|  130305|  130265|       34|    3.7|  123.5|  131.3|  0.468|  0.461|   40.39|
reserve_descent_4               |   3048|   2438|  130265|  130233|       20|    2.5|  111.2|  114.6|  0.392|  0.389|   31.62|
reserve_descent_5               |   2438|   1524|  130233|  130187|       29|    3.7|  114.6|  119.7|  0.389|  0.385|   46.16|
reserve_descent_6               |   1524|    914|  130187|  130157|       19|    2.4|  119.7|  123.3|  0.385|  0.382|   30.14|
