#    CM       Cm_alpha       Cn_beta       NP 
0.23078000 -7.50683400 0.27184600 0.27184600
0.23228000 -7.55419100 0.27304000 0.27304000
0.23536000 -7.65199400 0.27548700 0.27548700
0.24724000 -8.03143000 0.28473800 0.28473800
0.27054000 -8.78668400 0.30206000 0.30206000
0.31918000 -10.42450300 0.33508600 0.33508600
-0.03235000 -7.56320600 0.27641800 0.27641800
-0.03251000 -7.61094200 0.27765200 0.27765200
-0.03286000 -7.70952900 0.28018100 0.28018100
-0.03429000 -8.09205600 0.28975500 0.28975500
-0.03747000 -8.85372200 0.30772500 0.30772500
-0.04630000 -10.50703000 0.34218100 0.34218100
-0.29680000 -7.58273200 0.28199400 0.28199400
-0.29864000 -7.63061300 0.28327700 0.28327700
-0.30243000 -7.72950400 0.28590800 0.28590800
-0.31724000 -8.11325800 0.29587800 0.29587800
-0.34707000 -8.87762600 0.31464600 0.31464600
-0.41376000 -10.53836600 0.35087600 0.35087600
-0.69315000 -7.54277300 0.29218400 0.29218400
-0.69749000 -7.59043500 0.29355700 0.29355700
-0.70646000 -7.68887800 0.29637300 0.29637300
-0.74133000 -8.07096800 0.30706800 0.30706800
-0.81114000 -8.83240700 0.32730500 0.32730500
-0.96476000 -10.48912600 0.36682500 0.36682500
-0.95528000 -7.47015800 0.30014600 0.30014600
-0.96128000 -7.51738400 0.30158900 0.30158900
-0.97367000 -7.61492900 0.30455000 0.30455000
-1.02182000 -7.99358000 0.31581200 0.31581200
-1.11811000 -8.74842600 0.33720200 0.33720200
-1.32936000 -10.39236900 0.37931900 0.37931900
-1.34213000 -7.29315600 0.31374400 0.31374400
-1.35058000 -7.33929700 0.31530600 0.31530600
-1.36802000 -7.43460500 0.31851500 0.31851500
-1.43579000 -7.80464800 0.33074800 0.33074800
-1.57120000 -8.54272400 0.35411500 0.35411500
-1.86771000 -10.15251700 0.40070000 0.40070000
